"var","categoria","1","2","3","4","5","6","7","8","9"
"P05","Tengo trabajo estable",0.534,0.564,0.697,0.47,0.536,0.496,0.536,0.498,0.398
"P05","Realizo changas o trabajos de vez en cuando",0.153,0.187,0.107,0.11,0.192,0.172,0.212,0.164,0.256
"P05","No tengo trabajo",0.136,0.111,0.076,0.206,0.116,0.162,0.126,0.18,0.148
"P05","Soy jubilado o pensionado",0.177,0.138,0.12,0.214,0.156,0.17,0.126,0.158,0.198
"P06","1",0.246,0.176,0.07,0.15,0.264,0.188,0.204,0.228,0.422
"P06","2",0.06,0.09,0.123,0.034,0.043,0.04,0.07,0.062,0.074
"P06","3",0.036,0.116,0.172,0.095,0.059,0.035,0.159,0.087,0.054
"P06","4",0.051,0.06,0.111,0.137,0.085,0.049,0.104,0.076,0.057
"P06","5",0.137,0.19,0.331,0.294,0.373,0.387,0.269,0.241,0.186
"P06","6",0.054,0.063,0.047,0.059,0.061,0.061,0.022,0.089,0.02
"P06","7",0.114,0.093,0.078,0.103,0.034,0.077,0.1,0.091,0.013
"P06","8",0.063,0.083,0.038,0.059,0.029,0.062,0.027,0.079,0.02
"P06","9",0.239,0.129,0.03,0.069,0.052,0.101,0.045,0.047,0.154
"P07","1",0.451,0.149,0.169,0.241,0.104,0.021,0.105,0.044,0.261
"P07","2",0.064,0.209,0.038,0.033,0.028,0.012,0.008,0.031,0.036
"P07","3",0.039,0.039,0.149,0.044,0.028,0.012,0.064,0.044,0.021
"P07","4",0.033,0.087,0.041,0.159,0.051,0.026,0.036,0.081,0.027
"P07","5",0.125,0.208,0.228,0.167,0.434,0.316,0.13,0.303,0.165
"P07","6",0.031,0.07,0.056,0.062,0.053,0.308,0.111,0.053,0.034
"P07","7",0.049,0.054,0.187,0.157,0.062,0.065,0.275,0.108,0.027
"P07","8",0.033,0.065,0.109,0.067,0.072,0.174,0.115,0.22,0.054
"P07","9",0.175,0.119,0.023,0.07,0.168,0.066,0.156,0.116,0.375
"P10","Del Frente de Todos y el peronismo",0.521,0.279,0.279,0.342,0.215,0.16,0.196,0.179,0.165
"P10","De Cambiemos",0.225,0.334,0.279,0.167,0.391,0.432,0.437,0.458,0.389
"P10","De los Liberales libertarios",0.086,0.224,0.172,0.307,0.229,0.168,0.213,0.185,0.233
"P10","De la Izquierda",0.043,0.041,0.008,0.041,0.007,0.031,0.007,0.045,0.016
"P10","No sabe",0.125,0.122,0.262,0.143,0.158,0.209,0.147,0.133,0.197
"P11","A Alberto Fernández",0.11,0.196,0.161,0.392,0.231,0,0.368,0,0.281
"P11","A Sergio Massa",0.227,0.217,0.093,0.13,0.274,0.537,0.101,0.419,0.308
"P11","A algún candidato del peronismo",0.111,0.138,0.1,0.089,0.146,0.263,0.158,0.223,0.164
"P11","A algún candidato del kirchnerismo",0.552,0.449,0.646,0.389,0.349,0.2,0.373,0.358,0.247
"P12","A Alberto Fernández",0.068,0.107,0.053,0.314,0.118,0.035,0.155,0,0.143
"P12","A Sergio Massa",0.11,0.125,0.024,0.109,0.224,0.456,0.083,0.285,0.204
"P12","A algún candidato del peronismo",0.103,0.127,0.056,0.054,0.186,0.022,0.179,0.193,0.125
"P12","A Cristina Fernández de Kirchner",0.719,0.641,0.867,0.523,0.472,0.487,0.583,0.522,0.528
"P13","A Horacio Rodriguez Larreta",0.292,0.386,0.307,0.149,0.236,0.309,0.187,0.279,0.226
"P13","A Mauricio Macri",0.228,0.295,0.271,0.248,0.255,0.352,0.319,0.279,0.347
"P13","A Patricia Bullrich",0.348,0.212,0.359,0.462,0.44,0.271,0.447,0.37,0.383
"P13","A Facundo Manes",0.105,0.085,0.038,0.069,0.051,0.006,0.029,0.072,0.033
"P13","A Gerardo Morales",0.027,0.022,0.025,0.072,0.018,0.062,0.018,0,0.011
"P14","Seguro lo votaria",0.187,0.023,0.107,0.184,0.135,0.074,0.175,0.068,0.199
"P14","Quizás lo votaría",0.338,0.252,0.481,0.447,0.431,0.394,0.323,0.622,0.322
"P14","Nunca lo votaría",0.475,0.725,0.412,0.369,0.434,0.532,0.502,0.31,0.479
"P15","Lo votaría",0.49,0.259,0.274,0.286,0.164,0.111,0.11,0.088,0.136
"P15","Puede que lo vote",0.08,0.086,0.037,0.066,0.104,0.121,0.065,0.097,0.079
"P15","Nunca lo votaría",0.347,0.599,0.618,0.531,0.657,0.658,0.794,0.655,0.707
"P15","No sabe",0.083,0.056,0.071,0.117,0.075,0.11,0.031,0.16,0.078
"P16","Lo votaría",0.217,0.147,0.108,0.105,0.081,0.108,0.043,0.01,0.065
"P16","Puede que lo vote",0.265,0.244,0.169,0.21,0.168,0.16,0.101,0.176,0.114
"P16","Nunca lo votaría",0.393,0.524,0.653,0.544,0.611,0.621,0.776,0.691,0.693
"P16","No sabe",0.125,0.085,0.07,0.141,0.14,0.111,0.08,0.123,0.128
"P17","Lo votaría",0.127,0.211,0.133,0.124,0.211,0.243,0.156,0.205,0.221
"P17","Puede que lo vote",0.169,0.3,0.221,0.261,0.318,0.326,0.339,0.388,0.272
"P17","Nunca lo votaría",0.609,0.43,0.45,0.441,0.339,0.338,0.418,0.221,0.378
"P17","No sabe",0.095,0.059,0.196,0.174,0.132,0.093,0.087,0.186,0.129
"P18","Lo votaría",0.079,0.126,0.122,0.09,0.182,0.228,0.1,0.156,0.187
"P18","Puede que lo vote",0.13,0.173,0.233,0.172,0.309,0.326,0.31,0.376,0.279
"P18","Nunca lo votaría",0.673,0.542,0.495,0.493,0.353,0.23,0.434,0.267,0.363
"P18","No sabe",0.118,0.159,0.15,0.245,0.156,0.216,0.156,0.201,0.171
"P19","Lo votaría",0.199,0.124,0.122,0.113,0.125,0.161,0.033,0.099,0.131
"P19","Puede que lo vote",0.298,0.203,0.218,0.263,0.152,0.187,0.238,0.197,0.122
"P19","Nunca lo votaría",0.435,0.611,0.585,0.527,0.628,0.638,0.721,0.574,0.695
"P19","No sabe",0.068,0.062,0.075,0.097,0.095,0.014,0.008,0.13,0.052
"P20","Lo votaría",0.054,0.087,0.054,0.024,0.05,0.107,0.055,0.027,0.048
"P20","Puede que lo vote",0.159,0.209,0.216,0.128,0.211,0.228,0.239,0.269,0.177
"P20","Nunca lo votaría",0.584,0.452,0.464,0.636,0.521,0.306,0.516,0.397,0.576
"P20","No sabe",0.203,0.252,0.266,0.212,0.218,0.359,0.19,0.307,0.199
"P21","Lo votaría",0.117,0.203,0.217,0.252,0.221,0.132,0.315,0.216,0.249
"P21","Puede que lo vote",0.117,0.233,0.224,0.111,0.236,0.301,0.309,0.307,0.269
"P21","Nunca lo votaría",0.68,0.445,0.446,0.508,0.399,0.341,0.266,0.314,0.348
"P21","No sabe",0.086,0.119,0.113,0.129,0.144,0.226,0.11,0.163,0.134
"P22","Lo votaría",0.028,0.047,0.07,0.025,0.039,0.041,0.061,0.032,0.052
"P22","Puede que lo vote",0.057,0.135,0.113,0.098,0.081,0.2,0.146,0.214,0.104
"P22","Nunca lo votaría",0.652,0.466,0.46,0.545,0.52,0.38,0.481,0.403,0.53
"P22","No sabe",0.263,0.352,0.357,0.332,0.36,0.379,0.312,0.351,0.314
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.083,0.133,0.135,0.153,0.152,0.145,0.177,0.174,0.182
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.088,0.12,0.081,0.094,0.118,0.133,0.112,0.131,0.108
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.107,0.197,0.138,0.118,0.185,0.169,0.237,0.199,0.188
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.05,0.052,0.03,0.032,0.045,0.041,0.019,0,0.047
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.426,0.198,0.315,0.245,0.127,0.182,0.101,0.09,0.105
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.094,0.086,0.017,0.116,0.093,0.095,0.061,0.113,0.089
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.062,0.141,0.186,0.166,0.182,0.107,0.236,0.17,0.198
"P23","A los candidatos de la izquierda",0.032,0.005,0,0.003,0.012,0.014,0.007,0.049,0.009
"P23","Otros candidatos",0.058,0.068,0.098,0.073,0.086,0.114,0.05,0.074,0.074
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.137,0.252,0.18,0.2,0.272,0.203,0.352,0.226,0.287
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.104,0.159,0.152,0.126,0.164,0.192,0.132,0.229,0.161
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.12,0.08,0.056,0.08,0.075,0.08,0.039,0.016,0.079
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.401,0.175,0.243,0.196,0.146,0.115,0.077,0.14,0.103
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.085,0.162,0.2,0.263,0.205,0.149,0.207,0.219,0.242
"P24","A los candidatos de la izquierda",0.062,0.07,0.021,0.082,0.018,0.05,0.079,0.056,0.026
"P24","Otros candidatos",0.091,0.102,0.148,0.053,0.12,0.211,0.114,0.114,0.102
