"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Sergio Massa presidente por el Frente de Todos",0.322,0.288,0.354,0.302,0.336,0.31,0.328,0.317,0.309,0.348,0.328,0.311,0.663,0.066,0.244
"Patricia Bullrich por Juntos por el Cambio",0.475,0.498,0.453,0.468,0.423,0.501,0.546,0.439,0.489,0.49,0.466,0.491,0.136,0.816,0.458
"No sabe",0.203,0.214,0.193,0.23,0.241,0.189,0.126,0.244,0.202,0.162,0.206,0.198,0.201,0.118,0.298
