"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P05","Tengo trabajo estable",0.516,0.475,0.545,0.448,0.596,0.384
"P05","Realizo changas o trabajos de vez en cuando",0.167,0.162,0.188,0.226,0.138,0.221
"P05","No tengo trabajo",0.089,0.123,0.162,0.17,0.111,0.175
"P05","Soy jubilado o pensionado",0.228,0.24,0.105,0.156,0.155,0.22
"P06","1",0.295,0.263,0.425,0.135,0.176,0.286
"P06","2",0.056,0.044,0.086,0.045,0.066,0.072
"P06","3",0.039,0.069,0.094,0,0.031,0.04
"P06","4",0.065,0.06,0.065,0.067,0.094,0.031
"P06","5",0.195,0.18,0.183,0.126,0.273,0.285
"P06","6",0.053,0.061,0.024,0.058,0.07,0.051
"P06","7",0.084,0.097,0.016,0.123,0.119,0.071
"P06","8",0.045,0.055,0.021,0.05,0.051,0.044
"P06","9",0.168,0.171,0.086,0.396,0.12,0.12
"P07","1",0.323,0.302,0.174,0.271,0.245,0.368
"P07","2",0.059,0.061,0.031,0.064,0.044,0.038
"P07","3",0.028,0.041,0.014,0.075,0.045,0.03
"P07","4",0.034,0.039,0.012,0.05,0.085,0.042
"P07","5",0.176,0.177,0.146,0.262,0.262,0.249
"P07","6",0.059,0.04,0.035,0.047,0.044,0.091
"P07","7",0.05,0.073,0.111,0.021,0.061,0.035
"P07","8",0.05,0.061,0.109,0.037,0.058,0.028
"P07","9",0.221,0.206,0.368,0.173,0.156,0.119
"P08","1",0.425,0.435,0.193,0.627,0.384,0.421
"P08","2",0.029,0.023,0.025,0.071,0.03,0.023
"P08","3",0.024,0.022,0.039,0.021,0.041,0.038
"P08","4",0.019,0.021,0.033,0.03,0.021,0.018
"P08","5",0.12,0.114,0.136,0.058,0.13,0.127
"P08","6",0.02,0.014,0.012,0.006,0.019,0.023
"P08","7",0.024,0.021,0.061,0.021,0.032,0.036
"P08","8",0.019,0.04,0.036,0.066,0.035,0.022
"P08","9",0.32,0.31,0.465,0.1,0.308,0.292
"P10","Del Frente de Todos y el peronismo",0.404,0.469,0.025,0.377,0.299,0.397
"P10","De Cambiemos",0.485,0.422,0.138,0.007,0.393,0.138
"P10","De los Liberales libertarios",0.029,0.057,0.732,0.012,0.052,0.051
"P10","De la Izquierda",0.005,0.009,0.008,0.489,0.027,0.015
"P10","No sabe",0.077,0.043,0.097,0.115,0.229,0.399
"P11","A Alberto Fernández",0.15,0.068,0.111,0.16,0.084,0.265
"P11","A Sergio Massa",0.271,0.37,0.315,0.095,0.026,0.102
"P11","A algún candidato del peronismo",0.096,0.121,0.433,0.268,0.093,0.108
"P11","A algún candidato del kirchnerismo",0.483,0.441,0.141,0.477,0.797,0.525
"P12","A Alberto Fernández",0.077,0.061,0.129,0.103,0.024,0.171
"P12","A Sergio Massa",0.16,0.174,0.297,0.095,0.004,0.016
"P12","A algún candidato del peronismo",0.067,0.129,0.369,0.092,0.156,0.111
"P12","A Cristina Fernández de Kirchner",0.696,0.636,0.205,0.71,0.816,0.702
"P13","A Horacio Rodriguez Larreta",0.285,0.164,0.372,1,0.416,0.372
"P13","A Mauricio Macri",0.273,0.426,0.177,0,0.116,0.059
"P13","A Patricia Bullrich",0.395,0.369,0.409,0,0.338,0.347
"P13","A Facundo Manes",0.04,0.019,0.039,0,0.104,0.181
"P13","A Gerardo Morales",0.007,0.022,0.003,0,0.026,0.041
"P14","Seguro lo votaria",0.121,0.149,0.461,0,0.057,0.077
"P14","Quizás lo votaría",0.338,0.354,0.386,0,0.359,0.494
"P14","Nunca lo votaría",0.541,0.497,0.153,1,0.584,0.429
"P15","Lo votaría",0.381,0.393,0.03,0.388,0.305,0.324
"P15","Puede que lo vote",0.07,0.057,0.017,0.219,0.069,0.127
"P15","Nunca lo votaría",0.512,0.488,0.908,0.224,0.597,0.388
"P15","No sabe",0.037,0.062,0.045,0.169,0.029,0.161
"P16","Lo votaría",0.136,0.214,0.034,0.088,0.09,0.102
"P16","Puede que lo vote",0.213,0.227,0.074,0.259,0.221,0.301
"P16","Nunca lo votaría",0.547,0.494,0.823,0.435,0.609,0.387
"P16","No sabe",0.104,0.065,0.069,0.218,0.08,0.21
"P17","Lo votaría",0.26,0.247,0.14,0,0.147,0.063
"P17","Puede que lo vote",0.218,0.303,0.301,0.113,0.269,0.197
"P17","Nunca lo votaría",0.469,0.39,0.458,0.738,0.523,0.505
"P17","No sabe",0.053,0.06,0.101,0.149,0.061,0.235
"P18","Lo votaría",0.222,0.187,0.111,0.01,0.069,0.057
"P18","Puede que lo vote",0.257,0.23,0.269,0.042,0.246,0.155
"P18","Nunca lo votaría",0.438,0.485,0.466,0.817,0.583,0.509
"P18","No sabe",0.083,0.098,0.154,0.131,0.102,0.279
"P19","Lo votaría",0.25,0.224,0.034,0.076,0.041,0.131
"P19","Puede que lo vote",0.244,0.224,0.077,0.302,0.253,0.322
"P19","Nunca lo votaría",0.478,0.529,0.857,0.493,0.67,0.361
"P19","No sabe",0.028,0.023,0.032,0.129,0.036,0.186
"P20","Lo votaría",0.067,0.068,0.043,0.029,0.041,0.032
"P20","Puede que lo vote",0.203,0.229,0.148,0.071,0.179,0.156
"P20","Nunca lo votaría",0.563,0.547,0.617,0.552,0.637,0.48
"P20","No sabe",0.167,0.156,0.192,0.348,0.143,0.332
"P21","Lo votaría",0.136,0.125,0.54,0.082,0.11,0.073
"P21","Puede que lo vote",0.24,0.219,0.248,0.007,0.191,0.129
"P21","Nunca lo votaría",0.54,0.567,0.152,0.844,0.648,0.541
"P21","No sabe",0.084,0.089,0.06,0.067,0.051,0.257
"P22","Lo votaría",0.042,0.039,0.071,0.036,0.038,0.002
"P22","Puede que lo vote",0.131,0.085,0.088,0.043,0.09,0.053
"P22","Nunca lo votaría",0.573,0.648,0.518,0.571,0.607,0.473
"P22","No sabe",0.254,0.228,0.323,0.35,0.265,0.472
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.175,0.235,0.044,0.017,0.051,0.076
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.118,0.088,0.049,0.058,0.177,0.117
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.182,0.157,0.149,0.094,0.169,0.098
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.039,0.043,0.012,0.078,0.03,0.118
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.323,0.326,0.018,0.326,0.288,0.334
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.112,0.114,0.079,0,0.03,0.058
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.022,0.022,0.621,0.009,0.019,0.033
"P23","A los candidatos de la izquierda",0.002,0.004,0.004,0.383,0.023,0.002
"P23","Otros candidatos",0.027,0.011,0.024,0.035,0.213,0.164
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.301,0.283,0.144,0.065,0.202,0.091
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.139,0.173,0.065,0.081,0.22,0.107
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.077,0.11,0.039,0.115,0.032,0.209
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.355,0.363,0.013,0.132,0.145,0.187
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.053,0.029,0.673,0.014,0.043,0.062
"P24","A los candidatos de la izquierda",0.04,0.003,0.012,0.53,0.039,0.039
"P24","Otros candidatos",0.035,0.039,0.054,0.063,0.319,0.305
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.435,0.474,0.009,0.301,0.265,0.412
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.419,0.412,0.038,0.003,0.069,0.129
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.053,0.037,0.897,0.023,0.025,0.06
"P26","A los candidatos de la izquierda",0.007,0.011,0.017,0.568,0.046,0.008
"P26","Otro candidato",0.086,0.066,0.039,0.105,0.595,0.391
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.241,0.552,0.055,0.241,0.259,0.233
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.59,0.286,0.019,0.239,0.278,0.385
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.06,0.082,0.902,0.034,0.031,0.07
"P28","A los candidatos de la izquierda",0.01,0.009,0.002,0.386,0.021,0.011
"P28","Otro candidato",0.099,0.071,0.022,0.1,0.411,0.301
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.077,0.858,0.078,0.304,0.286,0.294
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.799,0.037,0.077,0.187,0.286,0.332
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.038,0.034,0.836,0.013,0.02,0.08
"P30","A los candidatos de la izquierda",0.006,0.014,0,0.393,0.02,0.007
"P30","Otro candidato",0.08,0.057,0.009,0.103,0.388,0.287
"P31","Sergio Massa por el Frente de Todos",0.564,0.3,0.037,0.148,0.116,0.143
"P31","Patricia Bullrich por Juntos por el Cambio",0.264,0.594,0.132,0.025,0.199,0.089
"P31","Javier Milei por los liberales libertarios",0.041,0.022,0.808,0.035,0.008,0.026
"P31","Nicolás del Caño por la izquierda",0.007,0.011,0.002,0.668,0.005,0.005
"P31","Otro candidato",0.065,0.039,0.006,0.045,0.534,0.125
"P31","Aún no lo tengo decidido",0.059,0.034,0.015,0.079,0.138,0.612
"P33","Sergio Massa por el Frente de Todos",0.447,0.43,0.009,0.112,0.042,0.135
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.367,0.38,0.054,0.082,0.222,0.09
"P33","Javier Milei por los liberales libertarios",0.06,0.082,0.898,0,0.016,0.033
"P33","Nicolás del Caño por la izquierda",0.007,0.012,0.001,0.731,0.007,0.009
"P33","Otro candidato",0.066,0.061,0.009,0.054,0.582,0.105
"P33","Aún no lo tengo decidido",0.053,0.035,0.029,0.021,0.131,0.628
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.444,0.462,0.009,0.314,0.265,0.37
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.384,0.358,0.061,0.097,0.221,0.109
"P34","Javier Milei por los liberales libertarios",0.072,0.081,0.906,0.009,0.013,0.022
"P34","Nicolás del Caño por la izquierda",0.009,0.007,0.002,0.554,0.015,0
"P34","Otro candidato",0.067,0.062,0.008,0.019,0.409,0.033
"P34","Aún no lo tengo decidido",0.024,0.03,0.014,0.007,0.077,0.466
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.52,0.413,0.029,0.572,0.364,0.439
"P36","Mauricio Macri por Juntos por el Cambio",0.44,0.549,0.449,0.034,0.276,0.127
"P36","No sabe",0.04,0.038,0.522,0.394,0.36,0.434
"P37","Alberto Fernández por el Frente de Todos",0.39,0.413,0.032,0.56,0.187,0.205
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.455,0.433,0.436,0.093,0.401,0.16
"P37","No sabe",0.155,0.154,0.532,0.347,0.412,0.635
"P38","Sergio Massa presidente por el Frente de Todos",0.438,0.474,0.031,0.374,0.205,0.216
"P38","Patricia Bullrich por Juntos por el Cambio",0.49,0.471,0.662,0.09,0.399,0.172
"P38","No sabe",0.072,0.055,0.307,0.536,0.396,0.612
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.436,0.466,0.029,0.593,0.339,0.433
