"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Tengo trabajo estable",0.549,0.458,0.559,0.402,0.412
"P05","Realizo changas o trabajos de vez en cuando",0.158,0.167,0.197,0.297,0.26
"P05","No tengo trabajo",0.103,0.136,0.126,0.137,0.196
"P05","Soy jubilado o pensionado",0.19,0.239,0.118,0.164,0.132
"P06","1",0.17,0.371,0.421,0.094,0.287
"P06","2",0.041,0.069,0.071,0.066,0.09
"P06","3",0.037,0.079,0.084,0,0.038
"P06","4",0.039,0.085,0.064,0.049,0.073
"P06","5",0.153,0.22,0.182,0.096,0.317
"P06","6",0.06,0.035,0.037,0.08,0.03
"P06","7",0.143,0.031,0.017,0.131,0.039
"P06","8",0.079,0.031,0.019,0.107,0.014
"P06","9",0.278,0.079,0.105,0.377,0.112
"P07","1",0.479,0.195,0.175,0.228,0.276
"P07","2",0.06,0.038,0.024,0.109,0.053
"P07","3",0.059,0.027,0.013,0.031,0.033
"P07","4",0.038,0.04,0.019,0.1,0.056
"P07","5",0.14,0.218,0.165,0.221,0.279
"P07","6",0.027,0.068,0.034,0.071,0.04
"P07","7",0.042,0.071,0.094,0.03,0.05
"P07","8",0.03,0.074,0.104,0.021,0.03
"P07","9",0.125,0.269,0.372,0.189,0.183
"P08","1",0.627,0.271,0.191,0.607,0.301
"P08","2",0.024,0.029,0.036,0.041,0.021
"P08","3",0.024,0.024,0.028,0.009,0.045
"P08","4",0.026,0.013,0.043,0.037,0.022
"P08","5",0.077,0.14,0.152,0.029,0.113
"P08","6",0.009,0.024,0.018,0.021,0.024
"P08","7",0.019,0.041,0.037,0.008,0.027
"P08","8",0.016,0.04,0.03,0.046,0.023
"P08","9",0.178,0.418,0.465,0.202,0.424
"P15","Lo votaría",0.751,0.045,0.018,0.165,0.132
"P15","Puede que lo vote",0.103,0.047,0.027,0.233,0.143
"P15","Nunca lo votaría",0.081,0.887,0.904,0.348,0.491
"P15","No sabe",0.065,0.021,0.051,0.254,0.234
"P16","Lo votaría",0.307,0.026,0.032,0.1,0.08
"P16","Puede que lo vote",0.385,0.077,0.087,0.139,0.135
"P16","Nunca lo votaría",0.184,0.851,0.828,0.608,0.433
"P16","No sabe",0.124,0.046,0.053,0.153,0.352
"P17","Lo votaría",0.074,0.402,0.106,0.02,0.036
"P17","Puede que lo vote",0.113,0.378,0.303,0.129,0.192
"P17","Nunca lo votaría",0.74,0.174,0.508,0.688,0.389
"P17","No sabe",0.073,0.046,0.083,0.163,0.383
"P18","Lo votaría",0.033,0.318,0.108,0.011,0.03
"P18","Puede que lo vote",0.076,0.391,0.273,0.055,0.155
"P18","Nunca lo votaría",0.78,0.202,0.483,0.78,0.432
"P18","No sabe",0.111,0.089,0.136,0.154,0.383
"P19","Lo votaría",0.308,0.062,0.049,0.096,0.143
"P19","Puede que lo vote",0.41,0.09,0.078,0.189,0.192
"P19","Nunca lo votaría",0.223,0.813,0.842,0.633,0.485
"P19","No sabe",0.059,0.035,0.031,0.082,0.18
"P20","Lo votaría",0.047,0.075,0.038,0.053,0.031
"P20","Puede que lo vote",0.14,0.265,0.155,0.078,0.135
"P20","Nunca lo votaría",0.616,0.49,0.65,0.662,0.433
"P20","No sabe",0.197,0.17,0.157,0.207,0.401
"P21","Lo votaría",0.032,0.218,0.511,0.048,0.126
"P21","Puede que lo vote",0.054,0.376,0.253,0.016,0.126
"P21","Nunca lo votaría",0.825,0.31,0.182,0.84,0.442
"P21","No sabe",0.089,0.096,0.054,0.096,0.306
"P22","Lo votaría",0.018,0.057,0.062,0.007,0.034
"P22","Puede que lo vote",0.051,0.144,0.08,0.034,0.082
"P22","Nunca lo votaría",0.685,0.513,0.542,0.622,0.43
"P22","No sabe",0.246,0.286,0.316,0.337,0.454
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.035,0.3,0.071,0.014,0.094
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.015,0.228,0.034,0.079,0.102
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.037,0.312,0.131,0.149,0.094
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.065,0.029,0.011,0.04,0.077
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.652,0.029,0.014,0.111,0.131
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.153,0.042,0.073,0.012,0.093
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.01,0.023,0.624,0.055,0.103
"P23","A los candidatos de la izquierda",0.004,0.002,0.009,0.474,0.016
"P23","Otros candidatos",0.029,0.035,0.033,0.066,0.29
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.041,0.494,0.148,0.068,0.112
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.033,0.308,0.047,0.054,0.128
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.17,0.034,0.04,0.018,0.12
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.59,0.033,0.005,0.129,0.174
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.049,0.045,0.672,0.104,0.113
"P24","A los candidatos de la izquierda",0.035,0.031,0.012,0.57,0.036
"P24","Otros candidatos",0.082,0.055,0.076,0.057,0.317
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.862,0.042,0.018,0.109,0.225
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.023,0.653,0.074,0.015,0.097
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.026,0.1,0.834,0.073,0.188
"P26","A los candidatos de la izquierda",0.018,0.013,0.013,0.649,0.013
"P26","Otro candidato",0.071,0.192,0.061,0.154,0.477
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.245,0.507,0.029,0.1,0.152
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.68,0.204,0.017,0.13,0.257
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.027,0.109,0.892,0.073,0.169
