"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P05","Tengo trabajo estable",0.355,0.554,0.664,0.581
"P05","Realizo changas o trabajos de vez en cuando",0.313,0.164,0.062,0.129
"P05","No tengo trabajo",0.186,0.086,0.102,0.1
"P05","Soy jubilado o pensionado",0.146,0.196,0.172,0.19
"P06","1",0.259,0.25,0.212,0.094
"P06","2",0.051,0.047,0.07,0.026
"P06","3",0.028,0.027,0.067,0.029
"P06","4",0.052,0.038,0.057,0.031
"P06","5",0.222,0.152,0.185,0.122
"P06","6",0.019,0.085,0.062,0.063
"P06","7",0.073,0.089,0.09,0.217
"P06","8",0.034,0.053,0.057,0.107
"P06","9",0.262,0.259,0.2,0.311
"P07","1",0.442,0.391,0.305,0.585
"P07","2",0.044,0.051,0.046,0.083
"P07","3",0.043,0.039,0.079,0.062
"P07","4",0.052,0.016,0.049,0.038
"P07","5",0.162,0.172,0.15,0.113
"P07","6",0.035,0.049,0.028,0.011
"P07","7",0.018,0.042,0.082,0.038
"P07","8",0.026,0.044,0.055,0.014
"P07","9",0.178,0.196,0.206,0.056
"P08","1",0.426,0.583,0.545,0.738
"P08","2",0.029,0.021,0.026,0.023
"P08","3",0.024,0.009,0.019,0.033
"P08","4",0.06,0.013,0.017,0.021
"P08","5",0.117,0.093,0.094,0.061
"P08","6",0,0.02,0.018,0.004
"P08","7",0.038,0.007,0.021,0.013
"P08","8",0,0.031,0.032,0.014
"P08","9",0.306,0.223,0.228,0.093
"P12","A Alberto Fernández",0.439,0.047,0.036,0.015
"P12","A Sergio Massa",0.064,0.489,0.028,0.013
"P12","A algún candidato del peronismo",0.026,0.052,0.587,0.049
"P12","A Cristina Fernández de Kirchner",0.471,0.412,0.349,0.923
"P15","Lo votaría",0.677,0.632,0.555,0.884
"P15","Puede que lo vote",0.145,0.171,0.121,0.052
"P15","Nunca lo votaría",0.096,0.104,0.261,0.017
"P15","No sabe",0.082,0.093,0.063,0.047
"P16","Lo votaría",0.347,0.357,0.218,0.297
"P16","Puede que lo vote",0.238,0.366,0.339,0.444
"P16","Nunca lo votaría",0.252,0.194,0.311,0.122
"P16","No sabe",0.163,0.083,0.132,0.137
"P17","Lo votaría",0.107,0.109,0.155,0.027
"P17","Puede que lo vote",0.175,0.17,0.127,0.061
"P17","Nunca lo votaría",0.578,0.641,0.623,0.864
"P17","No sabe",0.14,0.08,0.095,0.048
"P18","Lo votaría",0.078,0.047,0.065,0.002
"P18","Puede que lo vote",0.107,0.061,0.149,0.058
"P18","Nunca lo votaría",0.562,0.796,0.655,0.872
"P18","No sabe",0.253,0.096,0.131,0.068
"P19","Lo votaría",0.35,0.577,0.224,0.188
"P19","Puede que lo vote",0.361,0.249,0.359,0.512
"P19","Nunca lo votaría",0.217,0.163,0.346,0.224
"P19","No sabe",0.072,0.011,0.071,0.076
"P20","Lo votaría",0.081,0.081,0.074,0.02
"P20","Puede que lo vote",0.153,0.206,0.142,0.107
"P20","Nunca lo votaría",0.506,0.531,0.602,0.681
"P20","No sabe",0.26,0.182,0.182,0.192
"P21","Lo votaría",0.078,0.028,0.092,0.006
"P21","Puede que lo vote",0.072,0.041,0.121,0.039
"P21","Nunca lo votaría",0.616,0.838,0.724,0.907
"P21","No sabe",0.234,0.093,0.063,0.048
"P22","Lo votaría",0.032,0.01,0.046,0.009
"P22","Puede que lo vote",0.07,0.07,0.116,0.022
"P22","Nunca lo votaría",0.475,0.757,0.629,0.732
"P22","No sabe",0.423,0.163,0.209,0.237
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.058,0.025,0.079,0.019
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.017,0.02,0.02,0.01
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.06,0.019,0.094,0.023
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.259,0.049,0.039,0.017
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.481,0.423,0.542,0.851
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.1,0.404,0.14,0.051
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.004,0.022,0.026,0.003
"P23","A los candidatos de la izquierda",0.008,0.004,0,0.003
"P23","Otros candidatos",0.013,0.034,0.06,0.023
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.06,0.03,0.14,0.013
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.073,0.043,0.043,0.013
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.479,0.142,0.12,0.107
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.203,0.707,0.488,0.666
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.095,0.039,0.102,0.028
"P24","A los candidatos de la izquierda",0.026,0.018,0.032,0.046
"P24","Otros candidatos",0.064,0.021,0.075,0.127
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.868,0.87,0.665,0.903
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.066,0.005,0.072,0.011
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.004,0.053,0.085,0.004
"P26","A los candidatos de la izquierda",0.002,0.014,0.053,0.016
"P26","Otro candidato",0.06,0.058,0.125,0.066
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.194,0.252,0.338,0.238
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.744,0.637,0.489,0.728
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.028,0.044,0.095,0.002
"P28","A los candidatos de la izquierda",0.009,0.02,0.008,0.003
"P28","Otro candidato",0.025,0.047,0.07,0.029
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.441,0.584,0.566,0.481
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.512,0.332,0.322,0.49
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.005,0.036,0.038,0
"P30","A los candidatos de la izquierda",0.021,0,0.007,0.003
"P30","Otro candidato",0.021,0.048,0.067,0.026
"P31","Sergio Massa por el Frente de Todos",0.434,0.713,0.422,0.447
