"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Sergio Massa por el Frente de Todos",0.279,0.246,0.311,0.205,0.282,0.273,0.349,0.323,0.249,0.277,0.279,0.281,0.424,0.203,0.24
"Patricia Bullrich por Juntos por el Cambio",0.294,0.281,0.306,0.262,0.226,0.342,0.397,0.258,0.311,0.306,0.287,0.305,0.18,0.496,0.21
"Javier Milei por los liberales libertarios",0.187,0.261,0.117,0.255,0.238,0.147,0.074,0.213,0.187,0.16,0.192,0.178,0.095,0.167,0.219
"Nicolás del Caño por la izquierda",0.028,0.023,0.031,0.044,0.036,0.016,0.011,0.011,0.036,0.033,0.03,0.024,0.03,0.003,0.023
"Otro candidato",0.113,0.112,0.114,0.13,0.117,0.117,0.083,0.086,0.11,0.147,0.105,0.128,0.138,0.084,0.182
"Aún no lo tengo decidido",0.099,0.077,0.121,0.104,0.101,0.105,0.086,0.109,0.107,0.077,0.107,0.084,0.133,0.047,0.126
