"var","categoria","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos","Sergio Massa presidente – Axel Kicillof Gobernador","Javier Milei presidente - José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otros candidatos"
"P05","Tengo trabajo estable",0.462,0.466,0.393,0.59,0.559,0.455,0.463
"P05","Realizo changas o trabajos de vez en cuando",0.149,0.177,0.268,0.13,0.199,0.215,0.211
"P05","No tengo trabajo",0.128,0.146,0.163,0.066,0.141,0.208,0.198
"P05","Soy jubilado o pensionado",0.261,0.211,0.176,0.214,0.101,0.122,0.128
"P06","1",0.406,0.305,0.33,0.159,0.382,0.197,0.222
"P06","2",0.059,0.076,0.045,0.05,0.089,0.031,0.041
"P06","3",0.085,0.053,0.047,0.021,0.088,0.063,0.043
"P06","4",0.095,0.09,0.046,0.047,0.067,0.035,0.042
"P06","5",0.191,0.284,0.198,0.149,0.184,0.143,0.308
"P06","6",0.032,0.036,0.018,0.079,0.037,0.039,0.055
"P06","7",0.035,0.039,0.085,0.159,0.019,0.124,0.061
"P06","8",0.032,0.025,0.008,0.081,0.03,0.06,0.063
"P06","9",0.065,0.092,0.223,0.255,0.104,0.308,0.165
"P07","1",0.166,0.181,0.436,0.48,0.17,0.276,0.287
"P07","2",0.03,0.035,0.068,0.071,0.044,0.061,0.048
"P07","3",0.029,0.041,0.017,0.056,0.014,0.032,0.037
"P07","4",0.022,0.065,0.042,0.033,0.023,0.072,0.062
"P07","5",0.213,0.272,0.184,0.152,0.139,0.152,0.255
"P07","6",0.067,0.081,0.01,0.028,0.034,0.041,0.054
"P07","7",0.087,0.056,0.031,0.049,0.098,0.091,0.05
"P07","8",0.103,0.045,0.02,0.022,0.104,0.021,0.048
"P07","9",0.283,0.224,0.192,0.109,0.374,0.254,0.159
"P08","1",0.241,0.287,0.51,0.668,0.192,0.542,0.344
"P08","2",0.033,0.032,0.025,0.022,0.027,0.045,0.028
"P08","3",0.023,0.031,0.017,0.029,0.033,0.013,0.041
"P08","4",0.021,0.02,0.02,0.019,0.035,0.042,0.012
"P08","5",0.145,0.138,0.097,0.074,0.141,0.048,0.137
"P08","6",0.016,0.024,0.016,0.009,0.015,0.02,0.036
"P08","7",0.051,0.03,0.014,0.011,0.039,0.057,0.035
"P08","8",0.03,0.049,0.005,0.018,0.038,0.037,0.033
"P08","9",0.44,0.389,0.296,0.15,0.48,0.196,0.334
"P10","Del Frente de Todos y el peronismo",0.06,0.078,0.614,0.833,0.094,0.258,0.261
"P10","De Cambiemos",0.741,0.728,0.123,0.048,0.086,0.232,0.178
"P10","De los Liberales libertarios",0.122,0.061,0.08,0.004,0.714,0.051,0.133
"P10","De la Izquierda",0.009,0.01,0.006,0.015,0.017,0.352,0.015
"P10","No sabe",0.068,0.123,0.177,0.1,0.089,0.107,0.413
"P11","A Alberto Fernández",0.23,0.337,0.416,0.052,0.288,0.111,0.112
"P11","A Sergio Massa",0.185,0.318,0.198,0.293,0.19,0.127,0.061
"P11","A algún candidato del peronismo",0.428,0.157,0.084,0.101,0.247,0.112,0.106
"P11","A algún candidato del kirchnerismo",0.157,0.188,0.302,0.554,0.275,0.65,0.721
"P12","A Alberto Fernández",0.216,0.159,0.284,0.019,0.125,0.062,0.071
"P12","A Sergio Massa",0.076,0.144,0.082,0.159,0.227,0.084,0.012
"P12","A algún candidato del peronismo",0.362,0.194,0.066,0.085,0.183,0.083,0.159
"P12","A Cristina Fernández de Kirchner",0.346,0.503,0.568,0.737,0.465,0.771,0.758
"P13","A Horacio Rodriguez Larreta",0.081,0.557,0.397,0.207,0.261,0.121,0.117
"P13","A Mauricio Macri",0.317,0.236,0.272,0.346,0.336,0.058,0.334
"P13","A Patricia Bullrich",0.584,0.124,0.282,0.165,0.352,0.692,0.14
"P13","A Facundo Manes",0.015,0.057,0.037,0.209,0.046,0.093,0.32
"P13","A Gerardo Morales",0.003,0.026,0.012,0.073,0.005,0.036,0.089
"P14","Seguro lo votaria",0.147,0.164,0.152,0.087,0.514,0.123,0.093
"P14","Quizás lo votaría",0.365,0.377,0.429,0.22,0.286,0.148,0.27
"P14","Nunca lo votaría",0.488,0.459,0.419,0.693,0.2,0.729,0.637
"P15","Lo votaría",0.034,0.055,0.473,0.781,0.072,0.293,0.242
"P15","Puede que lo vote",0.035,0.074,0.202,0.088,0.026,0.141,0.119
"P15","Nunca lo votaría",0.913,0.816,0.182,0.083,0.848,0.448,0.506
"P15","No sabe",0.018,0.055,0.143,0.048,0.054,0.118,0.133
"P16","Lo votaría",0.019,0.071,0.232,0.302,0.065,0.064,0.093
"P16","Puede que lo vote",0.055,0.144,0.326,0.399,0.078,0.156,0.193
"P16","Nunca lo votaría",0.883,0.712,0.29,0.169,0.789,0.587,0.509
"P16","No sabe",0.043,0.073,0.152,0.13,0.068,0.193,0.205
"P17","Lo votaría",0.36,0.425,0.125,0.052,0.094,0.08,0.033
"P17","Puede que lo vote",0.398,0.342,0.185,0.09,0.292,0.173,0.191
"P17","Nunca lo votaría",0.187,0.168,0.525,0.783,0.521,0.581,0.567
"P17","No sabe",0.055,0.065,0.165,0.075,0.093,0.166,0.209
"P18","Lo votaría",0.362,0.207,0.083,0.022,0.074,0.074,0.041
"P18","Puede que lo vote",0.385,0.349,0.154,0.044,0.263,0.151,0.152
"P18","Nunca lo votaría",0.174,0.306,0.538,0.835,0.515,0.644,0.573
"P18","No sabe",0.079,0.138,0.225,0.099,0.148,0.131,0.234
"P19","Lo votaría",0.064,0.084,0.274,0.357,0.055,0.063,0.072
"P19","Puede que lo vote",0.074,0.121,0.37,0.428,0.103,0.114,0.203
"P19","Nunca lo votaría",0.843,0.719,0.29,0.172,0.816,0.738,0.571
"P19","No sabe",0.019,0.076,0.066,0.043,0.026,0.085,0.154
"P20","Lo votaría",0.082,0.07,0.08,0.036,0.027,0.021,0.026
"P20","Puede que lo vote",0.271,0.215,0.152,0.149,0.147,0.07,0.138
"P20","Nunca lo votaría",0.503,0.471,0.454,0.645,0.652,0.688,0.588
"P20","No sabe",0.144,0.244,0.314,0.17,0.174,0.221,0.248
"P21","Lo votaría",0.263,0.146,0.097,0.011,0.526,0.106,0.126
"P21","Puede que lo vote",0.415,0.284,0.113,0.054,0.21,0.133,0.121
"P21","Nunca lo votaría",0.261,0.412,0.54,0.862,0.213,0.681,0.554
"P21","No sabe",0.061,0.158,0.25,0.073,0.051,0.08,0.199
"P22","Lo votaría",0.045,0.04,0.03,0.003,0.06,0.084,0.087
"P22","Puede que lo vote",0.143,0.115,0.093,0.042,0.082,0.123,0.071
"P22","Nunca lo votaría",0.539,0.516,0.508,0.705,0.535,0.492,0.532
"P22","No sabe",0.273,0.329,0.369,0.25,0.323,0.301,0.31
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.325,0.224,0.074,0.035,0.046,0.008,0.11
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.03,0.524,0.029,0.024,0.051,0.006,0.03
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.503,0.058,0.061,0.019,0.059,0.335,0.046
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.025,0.028,0.231,0.04,0.007,0.017,0.033
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.015,0.081,0.39,0.661,0.065,0.225,0.244
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.054,0.036,0.165,0.17,0.065,0.062,0.041
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.024,0.015,0.015,0.008,0.681,0.005,0.131
"P23","A los candidatos de la izquierda",0.001,0.002,0.003,0.003,0.005,0.318,0.017
"P23","Otros candidatos",0.023,0.032,0.032,0.04,0.021,0.024,0.348
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.037,0.077,0.71,0.857,0.051,0.284,0.261
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.619,0.506,0.089,0.036,0.06,0.183,0.107
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.15,0.121,0.09,0.014,0.83,0.066,0.116
"P26","A los candidatos de la izquierda",0.025,0.013,0.008,0.019,0.015,0.404,0.006
"P26","Otro candidato",0.169,0.283,0.103,0.074,0.044,0.063,0.51
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.393,0.627,0.257,0.236,0.039,0.177,0.125
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.181,0.206,0.582,0.683,0.071,0.33,0.226
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.201,0.076,0.098,0.01,0.863,0.075,0.113
"P28","A los candidatos de la izquierda",0.012,0.004,0.01,0.012,0.003,0.34,0.004
"P28","Otro candidato",0.213,0.087,0.053,0.059,0.024,0.078,0.532
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.444,0.342,0.488,0.455,0.059,0.2,0.169
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.448,0.281,0.332,0.461,0.095,0.357,0.173
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.063,0.113,0.106,0.01,0.828,0.059,0.137
"P30","A los candidatos de la izquierda",0.008,0.023,0.007,0.013,0,0.318,0.017
"P30","Otro candidato",0.037,0.241,0.067,0.061,0.018,0.066,0.504
"P31","Sergio Massa por el Frente de Todos",0.227,0.198,0.429,0.566,0.062,0.18,0.089
"P31","Patricia Bullrich por Juntos por el Cambio",0.649,0.402,0.21,0.196,0.073,0.212,0.076
"P31","Javier Milei por los liberales libertarios",0.051,0.081,0.098,0.007,0.808,0.016,0.137
"P31","Nicolás del Caño por la izquierda",0.006,0.029,0.017,0.023,0.004,0.328,0.017
"P31","Otro candidato",0.03,0.192,0.082,0.102,0.024,0.105,0.41
"P31","Aún no lo tengo decidido",0.037,0.098,0.164,0.106,0.029,0.159,0.271
"P33","Sergio Massa por el Frente de Todos",0.075,0.07,0.426,0.75,0.045,0.212,0.075
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.473,0.714,0.209,0.059,0.049,0.085,0.055
"P33","Javier Milei por los liberales libertarios",0.183,0.075,0.108,0.011,0.825,0.084,0.14
"P33","Nicolás del Caño por la izquierda",0.015,0.028,0.036,0.018,0.002,0.354,0.01
"P33","Otro candidato",0.168,0.051,0.088,0.09,0.028,0.135,0.394
"P33","Aún no lo tengo decidido",0.086,0.062,0.133,0.072,0.051,0.13,0.326
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.029,0.062,0.675,0.861,0.067,0.284,0.288
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.514,0.733,0.091,0.049,0.048,0.173,0.064
"P34","Javier Milei por los liberales libertarios",0.205,0.071,0.106,0.011,0.834,0.097,0.142
"P34","Nicolás del Caño por la izquierda",0.021,0.009,0.018,0.011,0.009,0.328,0.013
"P34","Otro candidato",0.182,0.055,0.021,0.032,0.014,0.089,0.286
