"var","categoria","Sergio Massa presidente por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P05","Tengo trabajo estable",0.568,0.54,0.419
"P05","Realizo changas o trabajos de vez en cuando",0.146,0.156,0.205
"P05","No tengo trabajo",0.084,0.14,0.137
"P05","Soy jubilado o pensionado",0.202,0.164,0.239
"P06","1",0.156,0.401,0.32
"P06","2",0.045,0.068,0.061
"P06","3",0.027,0.098,0.031
"P06","4",0.042,0.079,0.082
"P06","5",0.141,0.2,0.261
"P06","6",0.069,0.044,0.046
"P06","7",0.18,0.025,0.05
"P06","8",0.076,0.016,0.037
"P06","9",0.264,0.069,0.112
"P07","1",0.448,0.147,0.231
"P07","2",0.087,0.027,0.039
"P07","3",0.056,0.021,0.024
"P07","4",0.045,0.03,0.039
"P07","5",0.131,0.166,0.265
"P07","6",0.032,0.054,0.068
"P07","7",0.046,0.116,0.043
"P07","8",0.023,0.1,0.075
"P07","9",0.132,0.339,0.216
"P08","1",0.661,0.194,0.302
"P08","2",0.023,0.028,0.037
"P08","3",0.019,0.042,0.029
"P08","4",0.031,0.031,0.011
"P08","5",0.085,0.158,0.114
"P08","6",0.007,0.017,0.028
"P08","7",0.014,0.055,0.028
"P08","8",0.015,0.043,0.041
"P08","9",0.145,0.432,0.41
"P10","Del Frente de Todos y el peronismo",0.82,0.032,0.145
"P10","De Cambiemos",0.042,0.446,0.577
"P10","De los Liberales libertarios",0.019,0.449,0.06
"P10","De la Izquierda",0.035,0.008,0.04
"P10","No sabe",0.084,0.065,0.178
"P11","A Alberto Fernández",0.103,0.286,0.13
"P11","A Sergio Massa",0.294,0.064,0.083
"P11","A algún candidato del peronismo",0.079,0.526,0.195
"P11","A algún candidato del kirchnerismo",0.524,0.124,0.592
"P12","A Alberto Fernández",0.047,0.172,0.164
"P12","A Sergio Massa",0.133,0.085,0.02
"P12","A algún candidato del peronismo",0.083,0.569,0.135
"P12","A Cristina Fernández de Kirchner",0.737,0.174,0.681
"P13","A Horacio Rodriguez Larreta",0.329,0.245,0.269
"P13","A Mauricio Macri",0.103,0.306,0.296
"P13","A Patricia Bullrich",0.29,0.415,0.372
"P13","A Facundo Manes",0.252,0.028,0.04
"P13","A Gerardo Morales",0.026,0.006,0.023
"P14","Seguro lo votaria",0.12,0.227,0.062
"P14","Quizás lo votaría",0.176,0.465,0.257
"P14","Nunca lo votaría",0.704,0.308,0.681
"P15","Lo votaría",0.749,0.023,0.134
"P15","Puede que lo vote",0.089,0.023,0.062
"P15","Nunca lo votaría",0.09,0.925,0.729
"P15","No sabe",0.072,0.029,0.075
"P16","Lo votaría",0.293,0.024,0.055
"P16","Puede que lo vote",0.419,0.054,0.121
"P16","Nunca lo votaría",0.153,0.894,0.711
"P16","No sabe",0.135,0.028,0.113
"P17","Lo votaría",0.05,0.248,0.29
"P17","Puede que lo vote",0.132,0.379,0.266
"P17","Nunca lo votaría",0.761,0.317,0.338
"P17","No sabe",0.057,0.056,0.106
"P18","Lo votaría",0.022,0.236,0.223
