"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Mucho",0.381,0.382,0.38,0.338,0.38,0.445,0.364,0.397,0.35,0.429,0.407,0.422,0.267,0.37,0.342,0.353
"Bastante",0.281,0.32,0.239,0.216,0.335,0.312,0.195,0.143,0.374,0.354,0.236,0.272,0.375,0.312,0.315,0.261
"Poco",0.145,0.131,0.16,0.146,0.132,0.142,0.187,0.155,0.142,0.13,0.131,0.095,0.192,0.153,0.235,0.198
"Nada",0.146,0.119,0.175,0.246,0.097,0.085,0.193,0.224,0.101,0.083,0.2,0.176,0.044,0.15,0.036,0.11
"No sabe",0.047,0.048,0.046,0.054,0.056,0.016,0.061,0.081,0.033,0.004,0.026,0.035,0.122,0.015,0.072,0.078
