"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P05","Mucho",0.469,0.356,0.451,0.42,0.12,0.441,0.324,0.283
"P05","Bastante",0.35,0.287,0.307,0.231,0.218,0.124,0.041,0.263
"P05","Poco",0.089,0.222,0.17,0.138,0,0.138,0.023,0.163
"P05","Nada",0.079,0.116,0.072,0.211,0.662,0.269,0.455,0.211
"P05","No sabe",0.013,0.019,0,0,0,0.028,0.157,0.08
"P06","Siempre",0.284,0.242,0.204,0.145,0.027,0.178,0.039,0.121
"P06","Casi siempre",0.391,0.38,0.287,0.518,0.041,0.195,0.01,0.22
"P06","Casi nunca",0.201,0.241,0.307,0.226,0.056,0.418,0.577,0.276
"P06","Nunca, pero esta es una excepción",0.124,0.137,0.202,0.111,0.876,0.209,0.374,0.383
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.626,0.059,0.061,0.222,0.23,0.114,0.344,0.175
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.215,0.026,0.028,0.124,0.05,0.043,0.044,0.073
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Pablo Cocuzza a intendente por Juntos por el Cambio",0.018,0.448,0.079,0.031,0.174,0.068,0,0.083
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y David Zencich a intendente por Juntos por el Cambio",0.02,0.364,0,0.102,0.036,0.022,0.01,0.031
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.06,0.015,0.831,0.02,0.029,0.07,0.058,0.016
"P09","Raul Othaceché a intendente por el frente vecinal crecer",0.018,0.02,0,0.07,0,0.132,0.107,0.018
"P09","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0,0,0.415,0,0,0.182,0.022
"P09","Guillermo Moreno a presidente, Luis D´elia a gobernador y Alberto Viscoti a intendente por Principios y valores",0.01,0.03,0,0.016,0.465,0.208,0.054,0.22
"P09","En blanco",0,0.001,0,0,0,0.299,0.083,0.033
"P09","No sabe",0.033,0.037,0.001,0,0.016,0.044,0.118,0.329
"P12","Lo votaría",0.659,0.073,0.054,0.188,0.449,0.052,0.012,0.131
"P12","Puede que lo vote",0.231,0.092,0,0.444,0.065,0.074,0.06,0.371
"P12","Nunca lo votaría",0.059,0.829,0.944,0.313,0.391,0.765,0.332,0.198
"P12","No sabe",0.051,0.006,0.002,0.055,0.095,0.109,0.596,0.3
"P13","Lo votaría",0.389,0.035,0.03,0.202,0,0.042,0,0.077
"P13","Puede que lo vote",0.299,0.024,0.017,0.357,0.354,0.032,0,0.306
"P13","Nunca lo votaría",0.226,0.917,0.951,0.354,0.118,0.84,0.39,0.315
"P13","No sabe",0.086,0.024,0.002,0.087,0.528,0.086,0.61,0.302
"P14","Lo votaría",0.118,0.529,0.184,0.07,0.067,0.066,0.01,0.024
"P14","Puede que lo vote",0.009,0.221,0.35,0.083,0.356,0,0.009,0.009
"P14","Nunca lo votaría",0.848,0.218,0.461,0.712,0.39,0.772,0.294,0.662
"P14","No sabe",0.025,0.032,0.005,0.135,0.187,0.162,0.687,0.305
"P15","Lo votaría",0.065,0.447,0.063,0.039,0,0.039,0.01,0.031
"P15","Puede que lo vote",0.053,0.31,0.142,0.124,0.086,0.028,0,0.088
"P15","Nunca lo votaría",0.853,0.218,0.774,0.771,0.649,0.72,0.566,0.497
"P15","No sabe",0.029,0.025,0.021,0.066,0.265,0.213,0.424,0.384
"P16","Lo votaría",0.104,0.071,0.872,0.03,0.201,0.009,0.01,0.014
"P16","Puede que lo vote",0.008,0.209,0.035,0.04,0.583,0.036,0,0.125
"P16","Nunca lo votaría",0.855,0.655,0.074,0.829,0,0.955,0.213,0.587
"P16","No sabe",0.033,0.065,0.019,0.101,0.216,0,0.777,0.274
"P17","Si",0.536,0.372,0.424,0.254,0.335,0.072,0.133,0.109
"P17","No",0.464,0.628,0.576,0.746,0.665,0.928,0.867,0.891
