"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Siempre",0.211,0.215,0.206,0.103,0.243,0.263,0.239,0.215,0.192,0.254,0.233,0.192,0.107,0.266,0.175,0.235
"Casi siempre",0.309,0.326,0.291,0.199,0.312,0.399,0.372,0.219,0.354,0.402,0.266,0.343,0.395,0.298,0.262,0.28
"Casi nunca",0.28,0.301,0.259,0.312,0.292,0.269,0.199,0.29,0.296,0.21,0.329,0.209,0.403,0.284,0.301,0.284
"Nunca, pero esta es una excepción",0.2,0.158,0.244,0.386,0.153,0.069,0.19,0.276,0.158,0.134,0.172,0.256,0.095,0.152,0.262,0.201
