"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.302,0.327,0.276,0.221,0.314,0.369,0.308,0.329,0.297,0.252,0.308,0.327,0.227,0.342,0.186,0.287
"Juan Grabois a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.108,0.096,0.12,0.042,0.13,0.162,0.072,0.072,0.124,0.148,0.054,0.132,0.096,0.168,0.076,0.083
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Pablo Cocuzza a intendente por Juntos por el Cambio",0.152,0.127,0.179,0.086,0.128,0.199,0.266,0.119,0.167,0.192,0.164,0.131,0.165,0.159,0.2,0.149
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y David Zencich a intendente por Juntos por el Cambio",0.114,0.093,0.137,0.145,0.099,0.105,0.115,0.129,0.118,0.069,0.181,0.069,0.046,0.128,0.159,0.127
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.137,0.181,0.088,0.244,0.139,0.069,0.046,0.139,0.145,0.109,0.148,0.106,0.242,0.093,0.211,0.148
"Raul Othaceché a intendente por el frente vecinal crecer",0.026,0.035,0.016,0.01,0.038,0.013,0.042,0.03,0.016,0.044,0.026,0.02,0.044,0.01,0.055,0.034
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.025,0.013,0.038,0.052,0.016,0.016,0.015,0.013,0.033,0.03,0.031,0.042,0.011,0,0.009,0.018
"Guillermo Moreno a presidente, Luis D´elia a gobernador y Alberto Viscoti a intendente por Principios y valores",0.054,0.052,0.057,0.108,0.054,0.018,0.017,0.067,0.036,0.073,0.018,0.102,0.013,0,0.025,0.088
"En blanco",0.02,0.027,0.013,0.032,0.024,0,0.02,0.049,0.002,0.001,0.017,0.005,0,0.051,0.009,0.04
"No sabe",0.062,0.049,0.076,0.06,0.058,0.049,0.099,0.053,0.062,0.082,0.053,0.066,0.156,0.049,0.07,0.026
