"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Pablo Cocuzza a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othaceché a intendente por el frente vecinal crecer","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Guillermo Moreno a presidente, Luis D´elia a gobernador y Alberto Viscoti a intendente por Principios y valores","En blanco","No sabe"
"P05","Mucho",0.462,0.594,0.318,0.348,0.389,0.446,0.384,0.574,0.028,0.144
"P05","Bastante",0.328,0.333,0.333,0.223,0.336,0.078,0.109,0.228,0.013,0.311
"P05","Poco",0.09,0.047,0.175,0.315,0.147,0.358,0.068,0.018,0.04,0.267
"P05","Nada",0.105,0,0.159,0.097,0.125,0.018,0.439,0.18,0.919,0.151
"P05","No sabe",0.015,0.026,0.015,0.017,0.003,0.1,0,0,0,0.127
"P06","Siempre",0.275,0.356,0.209,0.255,0.157,0.278,0.063,0.196,0,0.099
"P06","Casi siempre",0.401,0.304,0.455,0.349,0.266,0.138,0.42,0.147,0,0.31
"P06","Casi nunca",0.226,0.19,0.235,0.272,0.355,0.374,0.274,0.149,0.737,0.272
"P06","Nunca, pero esta es una excepción",0.098,0.15,0.101,0.124,0.222,0.21,0.243,0.508,0.263,0.319
"P08","Unión por la Patria",0.77,0.745,0.044,0.066,0.163,0.26,0,0.069,0,0.195
"P08","Juntos por el Cambio",0.052,0.066,0.786,0.851,0.029,0.201,0,0.147,0.018,0.162
"P08","De los Liberales libertarios",0.025,0.032,0.064,0,0.751,0,0,0,0,0.001
"P08","De la Izquierda",0.031,0.049,0.009,0.038,0.006,0.115,0.706,0.012,0,0
"P08","Hacemos por nuestro país",0.013,0.008,0.02,0.006,0.004,0,0,0.148,0,0.004
"P08","Otro",0.018,0.019,0.021,0.009,0.024,0.24,0,0.18,0.697,0.034
"P08","En blanco",0.031,0.011,0,0.002,0.011,0.113,0.2,0.027,0.113,0.052
"P08","No sabe",0.06,0.07,0.056,0.028,0.012,0.071,0.094,0.417,0.172,0.552
"P12","Lo votaría",0.757,0.332,0.061,0.002,0.093,0.014,0,0.148,0,0.039
"P12","Puede que lo vote",0.168,0.389,0.007,0.227,0.06,0.349,0.607,0.16,0.026,0.155
"P12","Nunca lo votaría",0.018,0.18,0.925,0.739,0.833,0.581,0.217,0.586,0.971,0.32
"P12","No sabe",0.057,0.099,0.007,0.032,0.014,0.056,0.176,0.106,0.003,0.486
"P13","Lo votaría",0.276,0.685,0.006,0.008,0.096,0.069,0,0.012,0,0
"P13","Puede que lo vote",0.312,0.186,0.004,0.085,0.047,0.237,0.451,0.333,0,0.049
"P13","Nunca lo votaría",0.271,0.096,0.963,0.892,0.84,0.638,0.321,0.61,0.971,0.431
"P13","No sabe",0.141,0.033,0.027,0.015,0.017,0.056,0.228,0.045,0.029,0.52
"P14","Lo votaría",0.09,0.095,0.781,0.312,0.232,0.068,0,0,0.022,0.017
"P14","Puede que lo vote",0.022,0.084,0.078,0.292,0.296,0.17,0,0,0,0.178
"P14","Nunca lo votaría",0.808,0.776,0.123,0.346,0.453,0.68,0.625,0.963,0.635,0.479
"P14","No sabe",0.08,0.045,0.018,0.05,0.019,0.082,0.375,0.037,0.343,0.326
"P15","Lo votaría",0.044,0.083,0.239,0.759,0.107,0.084,0,0,0,0.023
"P15","Puede que lo vote",0.051,0.015,0.398,0.227,0.141,0.056,0.069,0.213,0.023,0.089
"P15","Nunca lo votaría",0.823,0.837,0.337,0,0.734,0.815,0.611,0.749,0.627,0.512
"P15","No sabe",0.082,0.065,0.026,0.014,0.018,0.045,0.32,0.038,0.35,0.376
"P16","Lo votaría",0.069,0.014,0.127,0.047,0.894,0.037,0,0,0,0.001
"P16","Puede que lo vote",0.024,0.099,0.196,0.1,0.039,0,0.013,0.121,0,0.25
"P16","Nunca lo votaría",0.812,0.836,0.587,0.811,0.065,0.963,0.661,0.837,0.997,0.39
"P16","No sabe",0.095,0.051,0.09,0.042,0.002,0,0.326,0.042,0.003,0.359
"P17","Si",0.467,0.6,0.37,0.36,0.402,0.159,0.024,0.412,0,0.176
"P17","No",0.533,0.4,0.63,0.64,0.598,0.841,0.976,0.588,1,0.824
