"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.697,0.075,0.08,0.079
"P10","Juntos por el Cambio",0.137,0.624,0.081,0.097
"P10","De los liberales libertarios",0.075,0.235,0.606,0.36
"P10","De la Izquierda",0.028,0.013,0.056,0.075
"P10","Hacemos por nuestro país",0.016,0.02,0.067,0.052
"P10","Otro",0.013,0.014,0.03,0.108
"P10","En blanco",0.014,0.006,0.054,0.046
"P10","No sabe",0.02,0.013,0.026,0.183
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.791,0.067,0.08,0.092
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.615,0.053,0.074
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.074,0.252,0.659,0.412
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.019,0.017,0.038,0.072
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.028,0.092,0.119
"P13","En blanco",0.005,0.007,0.053,0.061
"P13","No sabe",0.012,0.014,0.025,0.17
"P26","Totalmente seguro",0.762,0.712,0.723,0.461
"P26","Bastante seguro",0.119,0.134,0.113,0.101
"P26","Algo seguro",0.071,0.096,0.069,0.18
"P26","Para nada seguro",0.048,0.058,0.095,0.258
"P27","Tiene Decidido que va a ir a votar",0.948,0.925,0.884,0.803
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.059,0.074,0.158
"P27","Tiene Decidido que no va a ir a votar",0.014,0.016,0.042,0.039
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.282,0.611,0.056,0.084
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.351,0.652,0.428
"P29","En blanco",0.419,0.017,0.253,0.09
"P29","No sabe",0.229,0.021,0.039,0.398
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.863,0.121,0.062,0.128
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.466,0.714,0.5
"P30","En blanco",0.062,0.249,0.186,0.088
"P30","No sabe",0.026,0.164,0.038,0.284
"P38","Inflación",0.384,0.301,0.344,0.27
"P38","Desempleo",0.111,0.058,0.086,0.084
"P38","Corrupción",0.136,0.456,0.411,0.359
"P38","Inseguridad",0.146,0.095,0.065,0.105
"P38","Precio del dólar",0.045,0.02,0.008,0.026
"P38","Pobreza",0.07,0.02,0.043,0.053
"P38","Narcotráfico",0.02,0.005,0.003,0.017
"P38","Tarifas",0.009,0.003,0.002,0.001
"P38","Otro",0.059,0.025,0.03,0.05
"P38","No sabe",0.02,0.017,0.008,0.035
"P10_imputada","Unión por la Patria",0.709,0.079,0.095,0.126
"P10_imputada","Juntos por el Cambio",0.14,0.627,0.082,0.142
"P10_imputada","De los liberales libertarios",0.076,0.238,0.607,0.399
"P10_imputada","De la Izquierda",0.029,0.013,0.059,0.09
"P10_imputada","Hacemos por nuestro país",0.018,0.022,0.069,0.057
"P10_imputada","Otro",0.013,0.014,0.03,0.13
"P10_imputada","En blanco",0.015,0.007,0.058,0.056
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.796,0.07,0.086,0.16
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.08,0.619,0.057,0.105
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.076,0.257,0.666,0.459
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.019,0.017,0.04,0.075
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.03,0.095,0.131
"P13_imputada","En blanco",0.006,0.007,0.056,0.07
