"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.762,0.692,0.739,0.517,0.461,0.446,0.387
"P26","Bastante seguro",0.118,0.146,0.11,0.131,0.242,0.064,0.063
"P26","Algo seguro",0.065,0.088,0.102,0.136,0.149,0.136,0.104
"P26","Para nada seguro",0.055,0.074,0.049,0.216,0.148,0.354,0.446
"P27","Tiene Decidido que va a ir a votar",0.932,0.917,0.932,0.82,0.837,0.806,0.63
"P27","Tiene dudas sobre si va a ir a  votar",0.057,0.062,0.053,0.104,0.099,0.123,0.273
"P27","Tiene Decidido que no va a ir a votar",0.011,0.021,0.015,0.076,0.064,0.071,0.097
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.847,0.198,0.133,0.352,0.248,0.19,0.276
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.709,0.333,0.125,0.238,0.155,0.096
"P28","En blanco",0.036,0.037,0.34,0.225,0.3,0.138,0.34
"P28","No sabe",0.041,0.056,0.194,0.298,0.214,0.517,0.288
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.232,0.691,0.132,0.225,0.249,0.181,0.107
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.16,0.744,0.215,0.252,0.249,0.2
"P29","En blanco",0.441,0.075,0.062,0.341,0.263,0.181,0.368
"P29","No sabe",0.237,0.074,0.062,0.219,0.236,0.389,0.325
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.835,0.239,0.103,0.411,0.306,0.183,0.325
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.286,0.791,0.198,0.268,0.356,0.165
"P30","En blanco",0.068,0.276,0.06,0.237,0.252,0.122,0.364
"P30","No sabe",0.031,0.199,0.046,0.154,0.174,0.339,0.146
"P38","Inflación",0.392,0.314,0.327,0.301,0.297,0.155,0.212
"P38","Desempleo",0.107,0.077,0.061,0.067,0.058,0.178,0.118
"P38","Corrupción",0.136,0.401,0.437,0.27,0.377,0.407,0.227
"P38","Inseguridad",0.132,0.113,0.081,0.092,0.16,0.145,0.115
"P38","Precio del dólar",0.052,0.019,0.01,0.036,0.01,0.028,0.029
"P38","Pobreza",0.07,0.026,0.034,0.084,0.045,0.033,0.067
"P38","Narcotráfico",0.02,0.006,0.006,0.009,0.004,0,0.076
"P38","Tarifas",0.006,0.005,0.002,0.002,0,0,0.037
"P38","Otro",0.062,0.026,0.03,0.092,0.034,0.05,0.006
"P38","No sabe",0.023,0.013,0.012,0.047,0.015,0.004,0.113
