"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.337,0.342,0.333,0.337,0.34,0.342,0.327,0.296,0.337,0.384,0.411,0.296,0.283,0.334,0.334,0.293,0.348,0.378,0.532,0.339,0.455,0.415
"Desempleo",0.086,0.079,0.093,0.099,0.094,0.066,0.075,0.1,0.098,0.054,0.099,0.055,0.148,0.092,0.105,0.091,0.071,0.116,0.032,0.035,0.056,0.073
"Corrupción",0.308,0.327,0.291,0.32,0.297,0.302,0.324,0.266,0.334,0.318,0.154,0.454,0.291,0.313,0.293,0.402,0.297,0.109,0.081,0.416,0.319,0.339
"Inseguridad",0.114,0.113,0.114,0.103,0.111,0.118,0.13,0.168,0.1,0.072,0.13,0.101,0.151,0.103,0.112,0.049,0.133,0.174,0.058,0.108,0.068,0.114
"Precio del dólar",0.029,0.022,0.036,0.023,0.027,0.04,0.029,0.035,0.032,0.019,0.042,0.018,0.022,0.024,0.031,0.028,0.033,0.065,0.019,0.002,0.006,0.004
"Pobreza",0.047,0.039,0.055,0.052,0.059,0.039,0.024,0.038,0.039,0.07,0.068,0.027,0.036,0.058,0.046,0.017,0.044,0.064,0.145,0.029,0.054,0.022
"Narcotráfico",0.012,0.008,0.015,0.001,0.01,0.013,0.031,0.023,0.006,0.007,0.017,0.005,0.009,0.011,0.01,0.017,0.013,0.004,0,0.01,0,0
"Tarifas",0.005,0.005,0.005,0,0.004,0.013,0.004,0.007,0.004,0.005,0.009,0.003,0.001,0.002,0.012,0.005,0.004,0.009,0.003,0.008,0,0
"Otro",0.043,0.041,0.043,0.045,0.037,0.052,0.038,0.031,0.038,0.061,0.053,0.027,0.02,0.042,0.031,0.073,0.044,0.058,0.121,0.047,0.03,0.027
"No sabe",0.019,0.024,0.015,0.02,0.021,0.015,0.018,0.036,0.012,0.01,0.017,0.014,0.039,0.021,0.026,0.025,0.013,0.023,0.009,0.006,0.012,0.006
