"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.358,0.294,0.227,0.143
"P10","Juntos por el Cambio",0.29,0.335,0.276,0.21
"P10","De los liberales libertarios",0.255,0.209,0.253,0.103
"P10","De la Izquierda",0.025,0.036,0.051,0.066
"P10","Hacemos por nuestro país",0.022,0.051,0.052,0.052
"P10","Otro",0.021,0.017,0.046,0.115
"P10","En blanco",0.013,0.013,0.03,0.114
"P10","No sabe",0.016,0.045,0.065,0.197
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.389,0.345,0.3,0.208
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.265,0.252,0.235,0.136
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.272,0.261,0.269,0.142
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.022,0.021,0.042,0.055
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.053,0.096,0.124
"P13","En blanco",0.016,0.028,0.021,0.064
"P13","No sabe",0.007,0.04,0.037,0.271
"P27","Tiene Decidido que va a ir a votar",0.964,0.815,0.794,0.717
"P27","Tiene dudas sobre si va a ir a  votar",0.025,0.182,0.095,0.225
"P27","Tiene Decidido que no va a ir a votar",0.011,0.003,0.111,0.058
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.451,0.412,0.323,0.245
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.336,0.367,0.35,0.236
"P28","En blanco",0.137,0.125,0.101,0.155
"P28","No sabe",0.076,0.096,0.226,0.364
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.35,0.352,0.338,0.253
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.291,0.287,0.311,0.19
"P29","En blanco",0.237,0.201,0.198,0.152
"P29","No sabe",0.122,0.16,0.153,0.405
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.447,0.357,0.392,0.337
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.331,0.379,0.327,0.217
"P30","En blanco",0.144,0.173,0.124,0.144
"P30","No sabe",0.078,0.091,0.157,0.302
"P38","Inflación",0.352,0.346,0.318,0.195
"P38","Desempleo",0.074,0.104,0.112,0.15
"P38","Corrupción",0.309,0.304,0.306,0.307
"P38","Inseguridad",0.108,0.129,0.113,0.143
"P38","Precio del dólar",0.031,0.004,0.037,0.047
"P38","Pobreza",0.046,0.055,0.051,0.046
"P38","Narcotráfico",0.013,0.005,0.005,0.017
"P38","Tarifas",0.004,0.006,0.001,0.022
"P38","Otro",0.048,0.03,0.027,0.028
"P38","No sabe",0.015,0.017,0.03,0.045
"P10_imputada","Unión por la Patria",0.366,0.313,0.242,0.209
"P10_imputada","Juntos por el Cambio",0.293,0.343,0.29,0.248
"P10_imputada","De los liberales libertarios",0.257,0.212,0.278,0.135
"P10_imputada","De la Izquierda",0.026,0.036,0.052,0.085
"P10_imputada","Hacemos por nuestro país",0.022,0.066,0.057,0.057
"P10_imputada","Otro",0.022,0.017,0.051,0.135
"P10_imputada","En blanco",0.014,0.013,0.03,0.131
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.392,0.355,0.316,0.303
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.266,0.24,0.184
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.275,0.272,0.281,0.212
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.022,0.021,0.043,0.062
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.053,0.098,0.149
"P13_imputada","En blanco",0.016,0.033,0.022,0.09
