"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.32,0.306,0.332,0.284,0.335,0.336,0.321,0.336,0.298,0.332,0.589,0.086,0.297,0.254,0.283,0.344,0.389,0.63,0.6,0.045,0.156,0.066
"Juntos por el Cambio",0.298,0.254,0.338,0.213,0.254,0.373,0.449,0.288,0.293,0.319,0.153,0.522,0.33,0.328,0.294,0.286,0.276,0.202,0.081,0.853,0.578,0.091
"De los liberales libertarios",0.243,0.312,0.18,0.336,0.26,0.178,0.128,0.224,0.262,0.236,0.156,0.305,0.24,0.246,0.285,0.244,0.218,0.123,0.2,0.081,0.146,0.725
"De la Izquierda",0.035,0.03,0.04,0.038,0.042,0.025,0.029,0.034,0.034,0.04,0.03,0.015,0.039,0.042,0.024,0.046,0.035,0.014,0.075,0.01,0.04,0.03
"Hacemos por nuestro país",0.037,0.035,0.039,0.049,0.04,0.035,0.015,0.042,0.036,0.033,0.024,0.038,0.052,0.062,0.03,0.018,0.024,0.022,0.037,0,0.048,0.025
"Otro",0.037,0.039,0.036,0.053,0.037,0.024,0.028,0.042,0.041,0.026,0.026,0.023,0.023,0.043,0.038,0.041,0.032,0.006,0.007,0.005,0.012,0.031
"En blanco",0.03,0.024,0.035,0.027,0.032,0.029,0.03,0.034,0.036,0.014,0.022,0.011,0.019,0.025,0.046,0.021,0.026,0.003,0,0.006,0.02,0.032
