"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.304,0.294,0.314,0.264,0.318,0.327,0.311,0.318,0.283,0.321,0.567,0.084,0.282,0.241,0.267,0.317,0.375,0.621,0.578,0.042,0.144,0.066
"Juntos por el Cambio",0.287,0.248,0.322,0.209,0.246,0.353,0.431,0.27,0.286,0.309,0.148,0.513,0.321,0.316,0.283,0.261,0.268,0.197,0.081,0.836,0.568,0.089
"De los liberales libertarios",0.234,0.303,0.172,0.325,0.249,0.17,0.126,0.214,0.253,0.229,0.151,0.296,0.24,0.24,0.273,0.227,0.21,0.123,0.2,0.081,0.146,0.708
"De la Izquierda",0.033,0.027,0.039,0.035,0.04,0.024,0.025,0.031,0.033,0.038,0.029,0.014,0.036,0.039,0.024,0.046,0.031,0.014,0.075,0.008,0.037,0.024
"Hacemos por nuestro país",0.034,0.032,0.036,0.042,0.038,0.031,0.014,0.038,0.032,0.032,0.022,0.036,0.051,0.055,0.027,0.018,0.022,0.022,0.037,0,0.048,0.025
"Otro",0.034,0.033,0.034,0.049,0.035,0.021,0.024,0.035,0.039,0.025,0.025,0.023,0.022,0.038,0.034,0.041,0.03,0.005,0.007,0.005,0.012,0.026
"En blanco",0.026,0.021,0.03,0.026,0.027,0.026,0.023,0.026,0.032,0.014,0.018,0.011,0.019,0.021,0.04,0.021,0.023,0.003,0,0.006,0.02,0.029
"No sabe",0.048,0.042,0.053,0.05,0.047,0.048,0.046,0.068,0.042,0.032,0.04,0.023,0.029,0.05,0.052,0.069,0.041,0.015,0.022,0.022,0.025,0.033
