"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.33,0.251,0.149
"P10","Juntos por el Cambio",0.294,0.253,0.234
"P10","De los liberales libertarios",0.241,0.18,0.134
"P10","De la Izquierda",0.03,0.041,0.075
"P10","Hacemos por nuestro país",0.029,0.024,0.092
"P10","Otro",0.027,0.047,0.091
"P10","En blanco",0.016,0.096,0.105
"P10","No sabe",0.033,0.108,0.12
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.372,0.26,0.201
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.258,0.192,0.156
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.264,0.209,0.154
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.035,0.055
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.038,0.095,0.136
"P13","En blanco",0.015,0.072,0.164
"P13","No sabe",0.028,0.137,0.134
"P26","Totalmente seguro",0.74,0.252,0.339
"P26","Bastante seguro",0.113,0.336,0.017
"P26","Algo seguro",0.078,0.124,0.427
"P26","Para nada seguro",0.069,0.288,0.217
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.433,0.25,0.272
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.337,0.308,0.249
"P28","En blanco",0.129,0.156,0.267
"P28","No sabe",0.101,0.286,0.212
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.349,0.254,0.277
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.285,0.284,0.257
"P29","En blanco",0.227,0.164,0.229
"P29","No sabe",0.139,0.298,0.237
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.434,0.277,0.371
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.333,0.3,0.237
"P30","En blanco",0.141,0.172,0.227
"P30","No sabe",0.092,0.251,0.165
"P38","Inflación",0.338,0.288,0.43
"P38","Desempleo",0.086,0.09,0.104
"P38","Corrupción",0.311,0.281,0.245
"P38","Inseguridad",0.11,0.184,0.064
"P38","Precio del dólar",0.03,0.027,0.007
"P38","Pobreza",0.05,0.007,0.021
"P38","Narcotráfico",0.012,0.017,0.012
"P38","Tarifas",0.005,0.006,0
"P38","Otro",0.043,0.034,0.037
"P38","No sabe",0.015,0.066,0.08
"P10_imputada","Unión por la Patria",0.344,0.28,0.163
"P10_imputada","Juntos por el Cambio",0.3,0.272,0.268
"P10_imputada","De los liberales libertarios",0.248,0.187,0.161
"P10_imputada","De la Izquierda",0.03,0.052,0.111
"P10_imputada","Hacemos por nuestro país",0.031,0.049,0.092
"P10_imputada","Otro",0.029,0.059,0.1
"P10_imputada","En blanco",0.018,0.101,0.105
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.382,0.311,0.211
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.228,0.174
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.272,0.231,0.219
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.026,0.036,0.066
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.042,0.096,0.137
"P13_imputada","En blanco",0.015,0.098,0.193
