"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.688,0.119,0.108,0.1,0.057,0.051,0.064
"P10","Juntos por el Cambio",0.15,0.759,0.119,0.067,0.101,0.178,0.121
"P10","De los liberales libertarios",0.089,0.087,0.662,0.086,0.142,0.054,0.042
"P10","De la Izquierda",0.012,0.008,0.015,0.628,0.045,0.047,0.056
"P10","Hacemos por nuestro país",0.012,0.005,0.022,0.018,0.423,0.047,0.004
"P10","Otro",0.012,0.008,0.025,0.077,0.117,0.244,0.118
"P10","En blanco",0.015,0.006,0.013,0.014,0.019,0.327,0.147
"P10","No sabe",0.022,0.008,0.036,0.01,0.096,0.052,0.448
"P26","Totalmente seguro",0.754,0.741,0.732,0.576,0.433,0.507,0.14
"P26","Bastante seguro",0.12,0.127,0.127,0.1,0.143,0.157,0.133
"P26","Algo seguro",0.075,0.084,0.093,0.142,0.186,0.085,0.087
"P26","Para nada seguro",0.051,0.048,0.048,0.182,0.238,0.251,0.64
"P27","Tiene Decidido que va a ir a votar",0.938,0.933,0.931,0.864,0.784,0.604,0.669
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.052,0.055,0.088,0.145,0.223,0.248
"P27","Tiene Decidido que no va a ir a votar",0.013,0.015,0.014,0.048,0.071,0.173,0.083
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.884,0.127,0.123,0.295,0.203,0.122,0.158
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.811,0.336,0.212,0.212,0.117,0.141
"P28","En blanco",0.028,0.028,0.351,0.186,0.276,0.382,0.103
"P28","No sabe",0.028,0.034,0.19,0.307,0.309,0.379,0.598
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.221,0.81,0.111,0.304,0.226,0.078,0.159
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.084,0.125,0.792,0.19,0.233,0.194,0.071
"P29","En blanco",0.444,0.037,0.061,0.33,0.254,0.411,0.157
"P29","No sabe",0.251,0.028,0.036,0.176,0.287,0.317,0.613
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.84,0.221,0.078,0.378,0.312,0.081,0.204
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.256,0.861,0.206,0.225,0.23,0.17
"P30","En blanco",0.075,0.315,0.04,0.272,0.238,0.357,0.126
"P30","No sabe",0.031,0.208,0.021,0.144,0.225,0.332,0.5
"P38","Inflación",0.404,0.298,0.316,0.251,0.273,0.296,0.21
"P38","Desempleo",0.107,0.061,0.073,0.055,0.085,0.167,0.155
"P38","Corrupción",0.122,0.444,0.44,0.329,0.364,0.342,0.246
"P38","Inseguridad",0.141,0.103,0.094,0.098,0.071,0.044,0.139
"P38","Precio del dólar",0.05,0.017,0.006,0.015,0.082,0.01,0.014
"P38","Pobreza",0.071,0.022,0.034,0.102,0.033,0.031,0.063
"P38","Narcotráfico",0.021,0.005,0,0.008,0.029,0,0.034
"P38","Tarifas",0.004,0.003,0.002,0.004,0.021,0.017,0.025
"P38","Otro",0.056,0.031,0.023,0.115,0.032,0.048,0.074
"P38","No sabe",0.024,0.016,0.012,0.023,0.01,0.045,0.04
