"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.679,0.061,0.152,0.081
"P10","Juntos por el Cambio",0.161,0.251,0.551,0.532
"P10","De los liberales libertarios",0.059,0.578,0.102,0.095
"P10","De la Izquierda",0.032,0.019,0.056,0.038
"P10","Hacemos por nuestro país",0.02,0.019,0.05,0.044
"P10","Otro",0.012,0.028,0.023,0.08
"P10","En blanco",0.013,0.008,0.047,0.021
"P10","No sabe",0.024,0.036,0.019,0.109
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.748,0.062,0.193,0.114
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.131,0.196,0.543,0.508
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.667,0.071,0.051
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.018,0.052,0.039
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.033,0.031,0.074,0.098
"P13","En blanco",0.003,0.012,0.043,0.056
"P13","No sabe",0.013,0.014,0.024,0.134
"P26","Totalmente seguro",0.752,0.717,0.703,0.537
"P26","Bastante seguro",0.105,0.143,0.147,0.109
"P26","Algo seguro",0.085,0.092,0.078,0.141
"P26","Para nada seguro",0.058,0.048,0.072,0.213
"P27","Tiene Decidido que va a ir a votar",0.941,0.929,0.894,0.817
"P27","Tiene dudas sobre si va a ir a  votar",0.041,0.056,0.073,0.15
"P27","Tiene Decidido que no va a ir a votar",0.018,0.015,0.033,0.033
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.85,0.062,0.179,0.104
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.098,0.484,0.585,0.544
"P28","En blanco",0.019,0.287,0.169,0.049
"P28","No sabe",0.033,0.167,0.067,0.303
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.357,0.201,0.519,0.49
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.727,0.118,0.098
"P29","En blanco",0.377,0.036,0.338,0.034
"P29","No sabe",0.222,0.036,0.025,0.378
"P38","Inflación",0.384,0.327,0.284,0.254
"P38","Desempleo",0.108,0.061,0.071,0.099
"P38","Corrupción",0.138,0.449,0.418,0.397
"P38","Inseguridad",0.14,0.085,0.099,0.118
"P38","Precio del dólar",0.052,0.01,0.007,0.03
"P38","Pobreza",0.071,0.026,0.046,0.018
"P38","Narcotráfico",0.02,0.001,0.007,0.023
"P38","Tarifas",0.006,0.005,0.001,0.004
"P38","Otro",0.054,0.029,0.045,0.034
"P38","No sabe",0.027,0.007,0.022,0.023
"P10_imputada","Unión por la Patria",0.694,0.07,0.164,0.106
"P10_imputada","Juntos por el Cambio",0.165,0.255,0.556,0.566
"P10_imputada","De los liberales libertarios",0.06,0.591,0.101,0.11
"P10_imputada","De la Izquierda",0.033,0.02,0.056,0.051
"P10_imputada","Hacemos por nuestro país",0.021,0.024,0.051,0.049
"P10_imputada","Otro",0.012,0.03,0.023,0.09
"P10_imputada","En blanco",0.015,0.01,0.049,0.028
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.756,0.064,0.201,0.157
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.132,0.199,0.55,0.535
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.049,0.675,0.078,0.084
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.018,0.053,0.047
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.035,0.032,0.076,0.111
"P13_imputada","En blanco",0.003,0.012,0.042,0.066
