"var","categoria","Comunidad","MPN","Desarrollo Ciudadano","Partido Justicialista","Iguales","Otro","No sabe"
"P07_imputadas","Julieta Corroza por Comunidad",0.55,0.083,0.075,0.117,0.085,0.244,0.214
"P07_imputadas","Sergio Soto por el MPN",0.093,0.476,0.025,0.217,0.074,0.179,0.242
"P07_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.231,0.208,0.847,0.021,0.19,0.328,0.245
"P07_imputadas","Andrés Peressini por Iguales",0.079,0.215,0,0.166,0.537,0.15,0.158
"P07_imputadas","Karina Ortiz por el PJ",0.047,0.018,0.053,0.479,0.114,0.099,0.141
"P11_imputadas","Julieta Corroza por Comunidad",0.561,0.282,0.4,0.379,0.213,0.488,0.303
"P11_imputadas","Sergio Soto por el MPN",0.037,0.466,0.035,0.167,0.235,0.131,0.112
"P11_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.245,0.055,0.393,0.097,0,0.12,0.222
"P11_imputadas","Andrés Peressini por Iguales",0.153,0.172,0.105,0.227,0.466,0.235,0.143
"P11_imputadas","Karina Ortiz por el PJ",0.004,0.025,0.067,0.13,0.086,0.026,0.22
