"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Totalmente seguro.",0.572,0.639,0.51,0.635,0.519,0.58,0.591,0.536,0.583,0.622,0.59,0.685,0.375,0.594
"Bastante seguro",0.178,0.153,0.201,0.126,0.216,0.186,0.156,0.155,0.182,0.216,0.223,0.179,0.171,0.328
"Algo seguro",0.111,0.111,0.111,0.13,0.118,0.099,0.063,0.115,0.117,0.089,0.087,0.069,0.413,0.078
"Para nada seguro",0.139,0.097,0.178,0.109,0.147,0.135,0.19,0.194,0.118,0.073,0.1,0.067,0.041,0
