"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros","No sabe"
"P05","Mucho",0.482,0.389,0.273,0.431,0.274,0.359,0.296,0.085
"P05","Bastante",0.217,0.431,0.34,0.297,0.362,0.278,0.331,0.263
"P05","Poco",0.187,0.088,0.198,0.16,0.165,0.261,0.108,0.173
"P05","Nada",0.047,0.009,0.094,0.1,0.196,0.102,0.265,0.403
"P05","No sabe",0.067,0.083,0.095,0.012,0.003,0,0,0.076
"P06","Siempre",0.271,0.153,0.249,0.181,0.126,0.062,0.145,0.126
"P06","Casi siempre",0.25,0.352,0.242,0.308,0.47,0.297,0.376,0.237
"P06","Casi nunca",0.321,0.306,0.273,0.387,0.253,0.164,0.231,0.303
"P06","Nunca, pero esta es una excepción",0.158,0.189,0.236,0.124,0.151,0.477,0.248,0.334
"P08","Unión por la Patria",0.555,0.639,0.093,0.131,0.08,0.261,0.176,0.061
"P08","Juntos por el Cambio",0.123,0.082,0.694,0.627,0.063,0.198,0.039,0.103
"P08","De los Liberales libertarios",0.094,0.151,0.07,0.022,0.706,0,0.029,0.123
"P08","De la Izquierda",0.013,0.035,0.014,0.021,0.038,0.161,0.063,0
"P08","Hacemos por nuestro país",0.012,0,0.005,0.008,0.028,0.278,0,0.02
"P08","Otro",0.051,0.029,0.017,0.021,0.03,0,0.544,0.053
"P08","En blanco",0.044,0.012,0.068,0.033,0.003,0,0.087,0.123
"P08","No sabe",0.108,0.052,0.039,0.137,0.052,0.102,0.062,0.517
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.46,0.356,0.058,0.116,0.148,0.102,0,0.243
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.194,0.039,0.032,0.091,0.099,0,0.028,0.004
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.078,0.347,0.029,0.032,0.014,0.475,0.176,0.026
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.019,0.073,0.005,0,0,0,0,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.093,0.019,0.607,0.041,0.068,0.062,0.011,0.172
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.008,0.017,0.029,0.626,0.031,0.198,0.057,0.042
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.086,0.124,0.107,0.023,0.599,0.062,0,0.035
