"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0,0,0.005,0.019
"PRESIDENTE","Otros",0.006,0.004,0.028,0.032
"PRESIDENTE","No sabe",0.005,0.026,0.087,0.302
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.174,0.182,0.448,0.219
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.029,0.093,0.138,0.052
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.252,0.268,0.054,0.168
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.415,0.24,0.035,0.008
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.067,0.117,0.216,0.164
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0,0.013,0.008,0.041
"INTENDENTE","Otros",0.003,0.035,0.034,0.029
"INTENDENTE","No sabe",0.06,0.052,0.067,0.319
