"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Sí",0.262,0.252,0.272,0.297,0.259,0.254,0.198,0.266,0.248,0.293,0.287,0.22,0.408,0.526
"No",0.738,0.748,0.728,0.703,0.741,0.746,0.802,0.734,0.752,0.707,0.713,0.78,0.592,0.474
