"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.355,0.112,0.094,0.084,0.108
"P06","Casi siempre",0.318,0.379,0.195,0.085,0.073
"P06","Casi nunca",0.166,0.317,0.533,0.385,0.347
"P06","Nunca, pero esta es una excepción",0.161,0.192,0.178,0.446,0.472
"P08","Unión por la Patria",0.372,0.285,0.154,0.086,0.168
"P08","Juntos por el Cambio",0.254,0.295,0.275,0.115,0.203
"P08","De los Liberales libertarios",0.202,0.19,0.146,0.132,0.13
"P08","De la Izquierda",0.026,0.021,0.022,0.025,0.03
"P08","Hacemos por nuestro país",0.019,0.041,0.03,0.008,0.02
"P08","Otro",0.057,0.042,0.065,0.082,0.032
"P08","En blanco",0.006,0.063,0.092,0.248,0.093
"P08","No sabe",0.064,0.063,0.216,0.304,0.324
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.291,0.277,0.224,0.087,0.155
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.055,0.081,0.095,0.071,0
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.099,0.074,0.096,0.003,0.063
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.039,0.007,0.034,0.017,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.148,0.172,0.166,0.083,0.193
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.131,0.076,0.108,0.045,0
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.162,0.183,0.143,0.241,0.164
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.027,0.006,0.06,0.019
"P11","Otros",0.034,0.031,0.025,0.046,0.079
"P11","No sabe",0.023,0.072,0.103,0.347,0.327
"P14","Sí",0.539,0.606,0.468,0.557,0.581
"P14","No",0.461,0.394,0.532,0.443,0.419
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.36,0.176,0.278,0.085,0.313
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.12,0.144,0.054,0.007,0.159
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.147,0.2,0.213,0.122,0.318
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.145,0.109,0.107,0.081,0.024
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.143,0.205,0.171,0.247,0.009
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.013,0.011,0.019,0.009,0
"P15","Otros",0.04,0.048,0.029,0.085,0
"P15","No sabe",0.032,0.107,0.129,0.364,0.177
"P18","Mariel Fernández a intendente por Unión por la Patria",0.42,0.393,0.299,0.403,0.31
"P18","Damián Contreras a intendente por Unión por la Patria",0.147,0.077,0.172,0.067,0.249
"P18","Giselle Agosttineli a intendente por Juntos por el Cambio",0.1,0.086,0.093,0.063,0
"P18","Aníbal Assef a intendente por Juntos por el Cambio",0.13,0.158,0.116,0.038,0.116
"P18","Andrea Vera a intendente por la Libertad Avanza",0.092,0.093,0.209,0.078,0.01
"P18","Alguno de los candidatos a intendente de la Izquierda",0.021,0.024,0,0.019,0.042
"P18","Otros",0.058,0.043,0.01,0.018,0
"P18","No sabe",0.032,0.126,0.101,0.314,0.273
"P21","Totalmente seguro.",0.797,0.566,0.39,0.349,0.25
"P21","Bastante seguro",0.131,0.243,0.253,0.073,0.088
"P21","Algo seguro",0.021,0.132,0.219,0.105,0.245
"P21","Para nada seguro",0.051,0.059,0.138,0.473,0.417
"P22","Tiene Decidido que va a ir a votar.",0.94,0.923,0.844,0.607,0.526
"P22","Tiene dudas sobre si va a ir a  votar",0.036,0.065,0.109,0.175,0.124
"P22","Tiene Decidido que no va a ir a votar",0.024,0.012,0.047,0.218,0.35
"P23","Lo votaría",0.446,0.33,0.314,0.094,0.208
"P23","Puede que lo vote",0.061,0.125,0.138,0.073,0.075
"P23","Nunca lo votaría",0.46,0.481,0.424,0.54,0.364
"P23","No sabe",0.033,0.064,0.124,0.293,0.353
"P24","Lo votaría",0.185,0.095,0.197,0.074,0.12
"P24","Puede que lo vote",0.121,0.114,0.148,0.078,0
"P24","Nunca lo votaría",0.635,0.714,0.5,0.649,0.472
"P24","No sabe",0.059,0.077,0.155,0.199,0.408
"P25","Lo votaría",0.244,0.146,0.168,0.06,0.094
"P25","Puede que lo vote",0.115,0.111,0.072,0.077,0.141
"P25","Nunca lo votaría",0.578,0.648,0.598,0.575,0.409
"P25","No sabe",0.063,0.095,0.162,0.288,0.356
"P26","Lo votaría",0.148,0.042,0.096,0.12,0.101
"P26","Puede que lo vote",0.095,0.091,0.085,0.019,0
"P26","Nunca lo votaría",0.701,0.783,0.642,0.665,0.471
"P26","No sabe",0.056,0.084,0.177,0.196,0.428
"P26","Lo votaría",0.148,0.042,0.096,0.12,0.101
"P26","Puede que lo vote",0.095,0.091,0.085,0.019,0
"P26","Nunca lo votaría",0.701,0.783,0.642,0.665,0.471
"P26","No sabe",0.056,0.084,0.177,0.196,0.428
"P27","Lo votaría",0.173,0.204,0.2,0.138,0.118
"P27","Puede que lo vote",0.143,0.117,0.133,0.102,0.191
"P27","Nunca lo votaría",0.625,0.605,0.489,0.582,0.372
"P27","No sabe",0.059,0.074,0.178,0.178,0.319
"P28","Lo votaría",0.164,0.079,0.166,0.092,0.02
"P28","Puede que lo vote",0.174,0.169,0.179,0.117,0.163
"P28","Nunca lo votaría",0.63,0.666,0.494,0.601,0.489
"P28","No sabe",0.032,0.086,0.161,0.19,0.328
"P29","Lo votaría",0.207,0.197,0.148,0.259,0.177
"P29","Puede que lo vote",0.095,0.11,0.102,0.126,0.093
"P29","Nunca lo votaría",0.672,0.621,0.634,0.413,0.329
"P29","No sabe",0.026,0.072,0.116,0.202,0.401
"P30","Si",0.484,0.418,0.348,0.214,0.216
"P30","No",0.516,0.582,0.652,0.786,0.784
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.349,0.279,0.324,0.107,0.195
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.11,0.113,0.099,0.017,0.095
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.141,0.181,0.176,0.129,0.261
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.131,0.083,0.129,0.055,0.014
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.194,0.226,0.151,0.242,0.088
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.008,0.007,0.009,0.044,0.02
"PRESIDENTE","Otros",0.04,0.029,0.013,0.061,0
"PRESIDENTE","No sabe",0.027,0.082,0.099,0.345,0.327
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.398,0.393,0.365,0.198,0.198
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.108,0.087,0.125,0.1,0.095
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.11,0.115,0.119,0.105,0.106
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.131,0.11,0.138,0.032,0.062
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.169,0.164,0.157,0.153,0.101
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.012,0.014,0,0.051,0.044
"INTENDENTE","Otros",0.045,0.025,0.005,0.023,0
"INTENDENTE","No sabe",0.027,0.092,0.091,0.338,0.394
