"var","categoria","Mariel Fernández a intendente por Unión por la Patria","Damián Contreras a intendente por Unión por la Patria","Giselle Agosttineli a intendente por Juntos por el Cambio","Aníbal Assef a intendente por Juntos por el Cambio","Andrea Vera a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.388,0.358,0.339,0.41,0.365,0.245,0.58,0.08
"P05","Bastante",0.306,0.23,0.282,0.276,0.283,0.226,0.264,0.22
"P05","Poco",0.206,0.241,0.211,0.25,0.195,0,0.038,0.157
"P05","Nada",0.075,0.13,0.126,0.039,0.129,0.412,0.118,0.392
"P05","No sabe",0.025,0.041,0.042,0.025,0.028,0.117,0,0.151
"P06","Siempre",0.183,0.191,0.328,0.149,0.185,0.227,0.47,0.104
"P06","Casi siempre",0.34,0.363,0.191,0.274,0.257,0.225,0.148,0.224
"P06","Casi nunca",0.295,0.289,0.337,0.316,0.273,0.429,0.234,0.278
"P06","Nunca, pero esta es una excepción",0.182,0.157,0.144,0.261,0.285,0.119,0.148,0.394
"P08","Unión por la Patria",0.534,0.429,0.084,0.098,0.061,0.129,0.252,0.023
"P08","Juntos por el Cambio",0.205,0.207,0.65,0.574,0.079,0,0.218,0.13
"P08","De los Liberales libertarios",0.057,0.088,0.104,0.17,0.68,0.079,0.037,0.11
"P08","De la Izquierda",0.018,0.019,0.033,0,0.006,0.065,0,0
"P08","Hacemos por nuestro país",0.003,0.035,0.039,0.043,0.069,0.089,0.019,0
"P08","Otro",0.04,0.117,0.013,0.016,0.061,0.137,0.355,0.055
"P08","En blanco",0.023,0.009,0.013,0.05,0.013,0.139,0.068,0.247
"P08","No sabe",0.12,0.096,0.064,0.049,0.031,0.362,0.051,0.435
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.618,0.066,0.014,0.031,0.055,0.16,0.081,0.05
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.021,0.491,0.011,0.009,0.008,0.062,0.019,0.068
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.163,0.023,0,0.06,0.008,0.147,0,0.022
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.002,0.209,0,0.007,0.003,0,0,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.056,0.022,0.816,0.263,0.057,0.058,0.011,0.052
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.038,0.055,0.03,0.528,0.022,0,0.157,0.054
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.049,0.065,0.11,0.075,0.819,0.079,0,0.084
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0.012,0.011,0.006,0.017,0.454,0.037,0.002
"P11","Otros",0.021,0.054,0,0.012,0.008,0.04,0.595,0.035
"P11","No sabe",0.031,0.003,0.008,0.009,0.003,0,0.1,0.633
"P14","Sí",0.553,0.575,0.382,0.594,0.31,0.593,0.694,0.55
"P14","No",0.447,0.425,0.618,0.406,0.69,0.407,0.306,0.45
