"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Siempre",0.181,0.212,0.152,0.171,0.17,0.189,0.234,0.195,0.169,0.182,0.261,0.213,0.056,0.189
"Casi siempre",0.256,0.267,0.246,0.165,0.296,0.282,0.314,0.223,0.259,0.329,0.295,0.349,0.047,0.157
"Casi nunca",0.326,0.28,0.369,0.33,0.335,0.338,0.254,0.35,0.321,0.281,0.284,0.271,0.769,0.171
"Nunca, pero esta es una excepción",0.237,0.241,0.233,0.334,0.199,0.191,0.198,0.232,0.251,0.208,0.16,0.167,0.128,0.483
