"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.285,0.272,0.296,0.214,0.323,0.279,0.331,0.306,0.273,0.267,0.563,0.062,0.257,0.157
"Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.095,0.082,0.107,0.095,0.09,0.101,0.105,0.078,0.103,0.111,0.153,0.049,0.016,0.335
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.163,0.168,0.159,0.105,0.128,0.258,0.265,0.2,0.116,0.212,0.063,0.405,0.27,0.054
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.101,0.099,0.103,0.105,0.102,0.089,0.11,0.063,0.126,0.118,0.052,0.211,0.162,0.147
"Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.196,0.24,0.155,0.315,0.18,0.115,0.101,0.165,0.23,0.17,0.049,0.234,0.257,0.203
"Alguno de los candidatos a presidente y gobernador de la Izquierda",0.013,0.003,0.023,0.019,0.008,0.019,0.009,0.02,0.004,0.024,0.011,0.007,0,0.044
"Otros",0.033,0.044,0.022,0.019,0.053,0.028,0,0.018,0.04,0.046,0.037,0.004,0,0.044
"No sabe",0.114,0.092,0.135,0.128,0.116,0.111,0.079,0.15,0.108,0.052,0.072,0.028,0.038,0.016
