"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Tiene Decidido que va a ir a votar.",0.86,0.845,0.873,0.834,0.886,0.87,0.807,0.81,0.881,0.91,0.929,0.919,0.655,0.909
"Tiene dudas sobre si va a ir a  votar",0.079,0.086,0.073,0.064,0.067,0.105,0.116,0.088,0.081,0.053,0.041,0.054,0.088,0.07
"Tiene Decidido que no va a ir a votar",0.061,0.069,0.054,0.102,0.047,0.025,0.077,0.102,0.038,0.037,0.03,0.027,0.257,0.021
