"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Mucho",0.35,0.396,0.307,0.283,0.41,0.373,0.311,0.379,0.28,0.444,0.375,0.428,0.413,0.381,0.411,0.442,0.283
"Bastante",0.345,0.36,0.332,0.34,0.314,0.365,0.434,0.295,0.387,0.341,0.391,0.361,0.419,0.339,0.305,0.24,0.42
"Poco",0.206,0.187,0.223,0.235,0.201,0.178,0.178,0.192,0.234,0.169,0.16,0.118,0.144,0.166,0.184,0.202,0.209
"Nada",0.073,0.04,0.103,0.088,0.058,0.078,0.067,0.076,0.091,0.032,0.054,0.09,0.024,0.077,0.072,0.073,0.073
"No sabe",0.026,0.017,0.035,0.054,0.017,0.006,0.01,0.058,0.008,0.014,0.02,0.003,0,0.037,0.028,0.043,0.015
