"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.261,0.263,0.258,0.176,0.328,0.259,0.245,0.289,0.214,0.303,0.705,0.504,0.207,0.052,0.037,0.263,0.26
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.29,0.237,0.343,0.225,0.236,0.354,0.515,0.245,0.348,0.251,0.111,0.202,0.529,0.592,0.108,0.286,0.293
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.341,0.4,0.282,0.475,0.318,0.305,0.158,0.376,0.301,0.362,0.158,0.17,0.216,0.214,0.738,0.332,0.347
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.02,0.041,0.019,0.043,0.038,0.004,0.026,0.034,0.031,0.007,0.101,0.016,0.042,0.003,0.035,0.027
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.036,0.03,0.042,0.048,0.036,0.013,0.043,0.033,0.04,0.032,0.013,0.011,0.004,0.04,0.066,0.029,0.041
"En blanco",0.042,0.05,0.034,0.057,0.039,0.031,0.035,0.031,0.063,0.021,0.006,0.012,0.028,0.06,0.048,0.055,0.032
