"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.412,0.343,0.426,0.306,0.412,0.26
"P05","Bastante",0.357,0.415,0.353,0.422,0.375,0.305
"P05","Poco",0.157,0.197,0.148,0.236,0.026,0.171
"P05","Nada",0.073,0.044,0.067,0.027,0.187,0.178
"P05","No sabe",0.001,0.001,0.006,0.009,0,0.086
"P06","Siempre",0.198,0.18,0.27,0.192,0.387,0.091
"P06","Casi siempre",0.386,0.347,0.31,0.372,0.421,0.284
"P06","Casi nunca",0.309,0.417,0.271,0.309,0.158,0.451
"P06","Nunca, pero esta es una excepción",0.107,0.056,0.149,0.127,0.034,0.174
"P08","Unidos para Cambiar jujuy",0.097,0.179,0.418,0.394,0.225,0.146
"P08","Juntos Avancemos",0.26,0.429,0.239,0.113,0.224,0.157
"P08","De los liberales libertarios",0.377,0.265,0.147,0.201,0.056,0.149
"P08","De la Izquierda",0.043,0.042,0.052,0.08,0.07,0.047
"P08","Hacemos por nuestro país",0.067,0.03,0.096,0.049,0.265,0.112
"P08","En blanco",0.049,0.026,0.023,0.041,0.026,0.193
"P08","No sabe",0.107,0.029,0.025,0.122,0.134,0.196
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.084,0.232,0.565,0.36,0.208,0.242
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.322,0.393,0.181,0.063,0.241,0.118
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.449,0.287,0.154,0.315,0.066,0.265
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.033,0.01,0.078,0.07,0.025
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.006,0.032,0.024,0.273,0.035
"P11","En blanco",0.033,0.035,0.029,0.019,0.045,0.201
"P11","No sabe",0.058,0.014,0.029,0.141,0.097,0.114
"P15","Totalmente seguro.",0.746,0.522,0.667,0.651,0.555,0.4
"P15","Bastante seguro",0.071,0.347,0.068,0.089,0.052,0.189
"P15","Algo seguro",0.091,0.06,0.242,0.097,0.19,0.085
"P15","Para nada seguro",0.092,0.071,0.023,0.163,0.203,0.326
"P16","Tiene Decidido que va a ir a votar.",0.896,0.918,0.913,0.783,0.845,0.735
"P16","Tiene dudas sobre si va a ir a  votar",0.063,0.069,0.035,0.164,0.127,0.199
"P16","Tiene Decidido que no va a ir a votar",0.041,0.013,0.052,0.053,0.028,0.066
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.24,0.435,0.706,0.584,0.437,0.28
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.341,0.441,0.165,0.128,0.349,0.166
"P17","En blanco",0.211,0.096,0.052,0.113,0.184,0.324
"P17","No sabe",0.208,0.028,0.077,0.175,0.03,0.23
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.33,0.557,0.32,0.258,0.242,0.213
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.448,0.261,0.176,0.198,0.35,0.264
"P18","En blanco",0.111,0.133,0.309,0.281,0.332,0.365
"P18","No sabe",0.111,0.049,0.195,0.263,0.076,0.158
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.153,0.398,0.565,0.6,0.275,0.296
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.57,0.29,0.186,0.209,0.336,0.308
"P19","En blanco",0.17,0.225,0.167,0.054,0.211,0.243
"P19","No sabe",0.107,0.087,0.082,0.137,0.178,0.153
"P20","Si",0.306,0.428,0.456,0.474,0.544,0.252
"P20","No",0.694,0.572,0.544,0.526,0.456,0.748
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.106,0.233,0.573,0.36,0.208,0.25
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.329,0.397,0.198,0.122,0.24,0.17
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.472,0.289,0.157,0.361,0.14,0.285
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.04,0.011,0.114,0.07,0.025
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.038,0.006,0.032,0.024,0.273,0.069
"P11_imputada","En blanco",0.033,0.035,0.029,0.019,0.069,0.201
