"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.35,0.135,0.106,0.083,0
"P06","Casi siempre",0.306,0.423,0.234,0.176,0.216
"P06","Casi nunca",0.247,0.362,0.532,0.189,0.306
"P06","Nunca, pero esta es una excepción",0.097,0.08,0.128,0.552,0.478
"P08","Unidos para Cambiar jujuy",0.239,0.202,0.175,0.175,0.179
"P08","Juntos Avancemos",0.245,0.268,0.275,0.251,0.246
"P08","De los liberales libertarios",0.298,0.275,0.222,0.258,0.16
"P08","De la Izquierda",0.049,0.047,0.064,0,0
"P08","Hacemos por nuestro país",0.062,0.083,0.041,0.097,0.04
"P08","En blanco",0.04,0.021,0.079,0.156,0.064
"P08","No sabe",0.067,0.104,0.144,0.063,0.311
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.301,0.223,0.214,0.217,0.179
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.248,0.302,0.267,0.271,0.298
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.293,0.339,0.322,0.319,0.169
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.027,0.03,0.003,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.044,0.026,0.071,0.04
"P11","En blanco",0.058,0.015,0.051,0.056,0.041
"P11","No sabe",0.056,0.05,0.09,0.063,0.273
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.441,0.398,0.39,0.414,0.062
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.173,0.218,0.231,0.119,0.013
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.252,0.217,0.203,0.212,0.171
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.061,0.087,0.108,0.028,0.088
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.031,0.03,0.005,0.076,0
"P14","No sabe",0.042,0.05,0.063,0.151,0.666
"P15","Totalmente seguro.",0.713,0.675,0.578,0.379,0.597
"P15","Bastante seguro",0.119,0.126,0.19,0.091,0.18
"P15","Algo seguro",0.117,0.122,0.104,0.191,0.114
"P15","Para nada seguro",0.051,0.077,0.128,0.339,0.109
"P16","Tiene Decidido que va a ir a votar.",0.932,0.87,0.896,0.685,0.84
"P16","Tiene dudas sobre si va a ir a  votar",0.031,0.105,0.066,0.174,0.16
"P16","Tiene Decidido que no va a ir a votar",0.037,0.025,0.038,0.141,0
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.419,0.437,0.413,0.359,0.298
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.31,0.316,0.267,0.178,0.139
"P17","En blanco",0.139,0.153,0.123,0.244,0.389
"P17","No sabe",0.132,0.094,0.197,0.219,0.174
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.383,0.339,0.399,0.261,0
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.278,0.361,0.28,0.335,0.62
"P18","En blanco",0.198,0.226,0.133,0.175,0.274
"P18","No sabe",0.141,0.074,0.188,0.229,0.106
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.362,0.332,0.328,0.352,0.299
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.37,0.438,0.309,0.212,0.582
"P19","En blanco",0.187,0.157,0.195,0.199,0.1
"P19","No sabe",0.081,0.073,0.168,0.237,0.019
"P20","Si",0.471,0.304,0.344,0.4,0.502
"P20","No",0.529,0.696,0.656,0.6,0.498
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.322,0.226,0.217,0.253,0.185
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.331,0.285,0.271,0.298
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.314,0.355,0.366,0.326,0.412
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.029,0.051,0.003,0
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.044,0.03,0.091,0.04
"P11_imputada","En blanco",0.06,0.015,0.051,0.056,0.065
