"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.419,0.399,0.439,0.377,0.477,0.414,0.336,0.426,0.431,0.389,0.896,0.645,0.323,0.183,0.244,0.468,0.381
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.294,0.278,0.31,0.221,0.252,0.358,0.496,0.278,0.298,0.311,0.062,0.177,0.482,0.639,0.16,0.29,0.297
"En blanco",0.151,0.203,0.099,0.227,0.141,0.111,0.071,0.193,0.098,0.182,0.013,0.094,0.129,0.048,0.368,0.138,0.161
"No sabe",0.136,0.12,0.152,0.175,0.13,0.117,0.097,0.103,0.173,0.118,0.029,0.084,0.066,0.13,0.228,0.104,0.161
