"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.319,0.221,0.415,0.506,0.373,0.13,0.108,0.329,0.423,0.071,0.451,0.156,0.251,0.516,0.049,0.467,0.351,0.28,0.169
"A Sergio Massa",0.167,0.18,0.156,0,0.098,0.271,0.536,0.196,0.17,0.099,0.059,0.291,0.279,0.03,0.043,0.153,0.195,0.046,0
"A algún candidato del peronismo",0.098,0.073,0.122,0.126,0.058,0.067,0.205,0.052,0.098,0.2,0.137,0.13,0.012,0.084,0.117,0.032,0.099,0.068,0
"A algún candidato del kirchnerismo",0.416,0.526,0.307,0.368,0.471,0.532,0.151,0.423,0.309,0.63,0.353,0.423,0.458,0.37,0.791,0.348,0.355,0.606,0.831
