"var","categoria","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri","Al candidato de Javier Milei en el municipio de Merlo","Al candidato de José Luis Espert en la boleta de Espert gobernador","A Cristian Franco por el Frente de Izquierda","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.789,0.124,0.103,0,0.257,0.075
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.051,0.43,0.169,0.12,0.011,0.175
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.099,0.368,0.076,0.077,0.008,0.065
"P07","Al candidato de Milei en el municipio de Merlo",0,0.021,0.542,0.376,0.024,0.082
"P07","Al candidato de Espert en la boleta de Espert gobernador",0.016,0.04,0.042,0.406,0.007,0.053
"P07","A Cristian Franco por el Frente de Izquierda",0.005,0,0,0.021,0.543,0.031
"P07","No sabe",0.04,0.017,0.068,0,0.15,0.519
"P09","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.858,0.164,0.032,0.054,0.162,0.031
"P09","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.097,0.737,0.144,0.135,0,0.197
"P09","Al candidato de Javier Milei en el municipio de Merlo",0.009,0.066,0.724,0.027,0.068,0.007
"P09","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.017,0.013,0.045,0.612,0,0.033
"P09","A Cristian Franco por el Frente de Izquierda",0.005,0.003,0.002,0.172,0.622,0.008
"P09","No sabe",0.014,0.017,0.053,0,0.148,0.724
"P13","Muy buena",0.341,0.134,0.079,0,0.017,0.05
"P13","Buena",0.289,0.097,0.022,0.064,0.046,0.054
"P13","Ni buena ni mala",0.205,0.143,0.247,0.279,0.261,0.152
"P13","Mala",0.074,0.106,0.183,0.133,0.083,0.227
"P13","Muy mala",0.046,0.435,0.383,0.466,0.465,0.292
"P13","No sabe",0.045,0.085,0.086,0.058,0.128,0.225
"P14","Muy buena",0.084,0.224,0.132,0.05,0.007,0.058
"P14","Buena",0.112,0.21,0.1,0.054,0.035,0.027
"P14","Ni buena ni mala",0.33,0.306,0.312,0.609,0.236,0.211
