"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.369,0.275,0.507,0.541,0.292,0.542,0.437,0.182,0.124
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.284,0.092,0.18,0.09,0.126,0.044,0.169,0.105,0.31
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.113,0.229,0.143,0.108,0.15,0.038,0.064,0.383,0.23
"P07","Al candidato de Milei en el municipio de Merlo",0.184,0.316,0.054,0.061,0.059,0.058,0.084,0.191,0.171
"P07","Al candidato de Espert en la boleta de Espert gobernador",0,0.01,0.035,0.028,0.169,0.019,0.011,0.012,0.03
"P07","A Cristian Franco por el Frente de Izquierda",0,0,0.029,0.067,0,0.067,0.117,0,0.036
"P07","No sabe",0.05,0.078,0.052,0.105,0.204,0.232,0.118,0.127,0.099
"P09","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.378,0.2,0.582,0.534,0.489,0.512,0.49,0.276,0.161
"P09","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.376,0.162,0.267,0.123,0.23,0.107,0.222,0.461,0.41
"P09","Al candidato de Javier Milei en el municipio de Merlo",0.19,0.593,0.035,0.113,0.139,0.095,0.085,0.161,0.236
"P09","Al candidato de José Luis Espert en la boleta de Espert gobernador",0,0,0.013,0.027,0,0.015,0.036,0,0.049
"P09","A Cristian Franco por el Frente de Izquierda",0,0,0.011,0.087,0.136,0,0.117,0,0.036
"P09","No sabe",0.056,0.045,0.092,0.116,0.006,0.271,0.05,0.102,0.108
"P11","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.37,0.297,0.542,0.524,0.527,0.568,0.473,0.305,0.157
"P11","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.298,0.343,0.291,0.148,0.149,0.07,0.199,0.42,0.343
"P11","Al candidato de Javier Milei en el municipio de Merlo",0.281,0.305,0.076,0.132,0.182,0.095,0.156,0.161,0.233
"P11","Al candidato de José Luis Espert en la boleta de Espert gobernador",0,0,0.005,0.006,0.136,0.031,0.022,0,0.024
"P11","A Cristian Franco por el Frente de Izquierda",0,0,0.035,0.097,0,0.063,0.1,0,0.056
"P11","No sabe",0.051,0.055,0.051,0.093,0.006,0.173,0.05,0.114,0.187
"P13","Muy buena",0.348,0,0.231,0.166,0.113,0.161,0.345,0.175,0.045
"P13","Buena",0.139,0.16,0.232,0.193,0.131,0.15,0.092,0.107,0.074
"P13","Ni buena ni mala",0.132,0.208,0.111,0.218,0.102,0.194,0.218,0.219,0.134
"P13","Mala",0.14,0.046,0.133,0.161,0.236,0.278,0.081,0.273,0.155
"P13","Muy mala",0.226,0.448,0.2,0.25,0.391,0.116,0.191,0.196,0.436
"P13","No sabe",0.015,0.138,0.093,0.012,0.027,0.101,0.073,0.03,0.156
"P14","Muy buena",0.227,0.282,0.078,0.029,0,0.079,0.081,0.21,0.188
"P14","Buena",0.23,0.109,0.071,0.091,0.023,0.088,0.01,0.121,0.133
"P14","Ni buena ni mala",0.288,0.302,0.376,0.258,0.449,0.44,0.392,0.505,0.223
"P14","Mala",0.069,0,0.176,0.171,0.144,0.042,0.313,0,0.071
