"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.103,0.104,0.102,0.028,0.145,0.114,0.079,0.098,0.093,0.135,0.085,0.091,0.085,0.202,0.056,0.128,0.123,0.113,0.036,6
"Buena",0.171,0.181,0.16,0.095,0.129,0.298,0.187,0.208,0.142,0.179,0.145,0.223,0.252,0.076,0.168,0.07,0.236,0.096,0.07,6
"Ni buena ni mala",0.289,0.309,0.27,0.286,0.253,0.257,0.449,0.265,0.304,0.293,0.252,0.344,0.236,0.28,0.347,0.204,0.299,0.281,0.316,6
"Mala",0.212,0.181,0.241,0.306,0.206,0.209,0.092,0.211,0.23,0.168,0.244,0.181,0.154,0.185,0.239,0.297,0.158,0.288,0.403,6
"Muy mala",0.177,0.181,0.174,0.242,0.222,0.1,0.086,0.153,0.185,0.199,0.254,0.114,0.22,0.212,0.135,0.213,0.159,0.167,0.175,6
"No sabe",0.048,0.044,0.053,0.043,0.045,0.022,0.107,0.065,0.046,0.026,0.02,0.047,0.053,0.045,0.055,0.088,0.025,0.055,0,6
"Positiva",0.274,0.285,0.262,0.123,0.274,0.412,0.266,0.306,0.235,0.314,0.23,0.314,0.337,0.278,0.224,0.198,0.359,0.209,0.106,4
"Neutra",0.289,0.309,0.27,0.286,0.253,0.257,0.449,0.265,0.304,0.293,0.252,0.344,0.236,0.28,0.347,0.204,0.299,0.281,0.316,4
"Negativa",0.389,0.362,0.415,0.548,0.428,0.309,0.178,0.364,0.415,0.367,0.498,0.295,0.374,0.397,0.374,0.51,0.317,0.455,0.578,4
"No sabe",0.048,0.044,0.053,0.043,0.045,0.022,0.107,0.065,0.046,0.026,0.02,0.047,0.053,0.045,0.055,0.088,0.025,0.055,0,4
