"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez"
"Cristian Franco","Positiva",0.084,0.081,0.086,0.162,0.064,0.072,0.032,0.08,0.09,0.075,0.117,0.058,0.113,0.034,0,0.173,0.09
"Cristian Franco","Neutra",0.369,0.35,0.388,0.311,0.422,0.327,0.385,0.383,0.387,0.3,0.415,0.355,0.293,0.438,0.407,0.304,0.308
"Cristian Franco","Negativa",0.176,0.176,0.177,0.23,0.188,0.164,0.071,0.142,0.183,0.222,0.153,0.197,0.113,0.167,0.204,0.191,0.178
"Cristian Franco","No sabe",0.371,0.393,0.349,0.297,0.326,0.437,0.512,0.395,0.34,0.403,0.315,0.39,0.481,0.361,0.389,0.332,0.424
"David Zencich","Positiva",0.245,0.204,0.286,0.344,0.208,0.26,0.163,0.26,0.242,0.226,0.264,0.228,0.339,0.232,0.224,0.228,0.197
"David Zencich","Neutra",0.311,0.316,0.305,0.255,0.335,0.298,0.355,0.267,0.347,0.302,0.32,0.291,0.273,0.375,0.37,0.276,0.302
"David Zencich","Negativa",0.234,0.266,0.204,0.204,0.266,0.253,0.161,0.21,0.216,0.326,0.232,0.28,0.131,0.144,0.274,0.256,0.266
"David Zencich","No sabe",0.21,0.214,0.205,0.197,0.191,0.189,0.321,0.263,0.195,0.146,0.184,0.201,0.257,0.249,0.132,0.24,0.235
"Pablo Cocuzza","Positiva",0.181,0.178,0.184,0.221,0.158,0.205,0.143,0.18,0.183,0.18,0.192,0.175,0.251,0.197,0.169,0.126,0.141
"Pablo Cocuzza","Neutra",0.347,0.352,0.342,0.3,0.371,0.3,0.431,0.312,0.38,0.328,0.362,0.3,0.353,0.432,0.396,0.331,0.301
"Pablo Cocuzza","Negativa",0.255,0.242,0.269,0.276,0.28,0.248,0.163,0.224,0.242,0.349,0.222,0.315,0.105,0.143,0.314,0.331,0.296
"Pablo Cocuzza","No sabe",0.217,0.228,0.205,0.203,0.191,0.247,0.263,0.284,0.195,0.143,0.224,0.21,0.291,0.228,0.121,0.212,0.262
"Diego Santilli","Positiva",0.283,0.261,0.306,0.26,0.284,0.314,0.264,0.25,0.325,0.238,0.33,0.243,0.283,0.318,0.277,0.294,0.188
"Diego Santilli","Neutra",0.27,0.215,0.327,0.28,0.332,0.207,0.187,0.293,0.276,0.216,0.257,0.23,0.298,0.274,0.298,0.355,0.223
"Diego Santilli","Negativa",0.334,0.39,0.276,0.29,0.312,0.383,0.383,0.355,0.283,0.422,0.314,0.4,0.275,0.317,0.318,0.258,0.461
"Diego Santilli","No sabe",0.113,0.134,0.091,0.17,0.072,0.096,0.166,0.102,0.116,0.124,0.099,0.127,0.144,0.091,0.107,0.093,0.128
"José Luis Espert","Positiva",0.252,0.276,0.226,0.282,0.263,0.228,0.211,0.171,0.3,0.273,0.259,0.19,0.247,0.27,0.35,0.34,0.156
"José Luis Espert","Neutra",0.274,0.208,0.342,0.328,0.262,0.279,0.216,0.329,0.253,0.23,0.343,0.265,0.358,0.221,0.198,0.216,0.207
"José Luis Espert","Negativa",0.342,0.407,0.275,0.274,0.344,0.397,0.354,0.367,0.303,0.394,0.27,0.41,0.207,0.415,0.399,0.28,0.488
"José Luis Espert","No sabe",0.132,0.109,0.157,0.116,0.131,0.096,0.219,0.133,0.144,0.103,0.128,0.135,0.188,0.094,0.053,0.164,0.149
"Cristian Ritondo","Positiva",0.197,0.195,0.201,0.179,0.17,0.208,0.283,0.152,0.224,0.212,0.241,0.106,0.268,0.233,0.393,0.192,0.11
