"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.227,0.138,0.315,0.368,0.302,0.036,0.063,0.253,0.274,0.066,0.217,0.13,0.278,0.406,0.052,0.329,0.238,0.261,0
"A Sergio Massa",0.136,0.096,0.176,0,0.049,0.235,0.494,0.128,0.151,0.121,0.074,0.175,0.084,0.008,0.176,0.243,0.139,0.072,0.831
"A algún candidato del peronismo",0.082,0.137,0.027,0.174,0.058,0.01,0.08,0.061,0.135,0.015,0.274,0.07,0,0,0.031,0.006,0.084,0.032,0.169
"A Cristina Fernández de Kirchner",0.555,0.629,0.482,0.458,0.591,0.719,0.363,0.558,0.44,0.798,0.435,0.625,0.638,0.586,0.741,0.422,0.539,0.635,0
