"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Cristian Franco","Muy buena",0.048,0.035,0.06,0.132,0.028,0.023,0.004,0.052,0.047,0.042,0.056,0.014,0.098,0.031,0,0.127,0.034,0.049,0.171
"Cristian Franco","Buena",0.036,0.046,0.026,0.03,0.036,0.049,0.028,0.028,0.043,0.033,0.061,0.044,0.015,0.003,0,0.046,0.056,0.015,0.041
"Cristian Franco","Ni buena ni mala",0.369,0.35,0.388,0.311,0.422,0.327,0.385,0.383,0.387,0.3,0.415,0.355,0.293,0.438,0.407,0.304,0.308,0.451,0.67
"Cristian Franco","Mala",0.074,0.078,0.07,0.097,0.071,0.085,0.026,0.059,0.072,0.108,0.046,0.114,0.092,0.012,0.032,0.084,0.087,0.066,0.018
"Cristian Franco","Muy mala",0.102,0.098,0.107,0.133,0.117,0.079,0.045,0.083,0.111,0.114,0.107,0.083,0.021,0.155,0.172,0.107,0.091,0.1,0.016
"Cristian Franco","No sabe",0.371,0.393,0.349,0.297,0.326,0.437,0.512,0.395,0.34,0.403,0.315,0.39,0.481,0.361,0.389,0.332,0.424,0.319,0.084
"David Zencich","Muy buena",0.122,0.09,0.154,0.201,0.087,0.134,0.071,0.151,0.114,0.089,0.139,0.11,0.149,0.166,0.055,0.101,0.104,0.204,0.008
"David Zencich","Buena",0.123,0.114,0.132,0.143,0.121,0.126,0.092,0.109,0.128,0.137,0.125,0.118,0.19,0.066,0.169,0.127,0.093,0.169,0.422
"David Zencich","Ni buena ni mala",0.311,0.316,0.305,0.255,0.335,0.298,0.355,0.267,0.347,0.302,0.32,0.291,0.273,0.375,0.37,0.276,0.302,0.308,0.354
"David Zencich","Mala",0.111,0.111,0.111,0.085,0.116,0.128,0.11,0.09,0.114,0.143,0.093,0.151,0.057,0.031,0.123,0.141,0.145,0.069,0.143
"David Zencich","Muy mala",0.123,0.155,0.093,0.119,0.15,0.125,0.051,0.12,0.102,0.183,0.139,0.129,0.074,0.113,0.151,0.115,0.121,0.128,0.028
"David Zencich","No sabe",0.21,0.214,0.205,0.197,0.191,0.189,0.321,0.263,0.195,0.146,0.184,0.201,0.257,0.249,0.132,0.24,0.235,0.122,0.045
"Pablo Cocuzza","Muy buena",0.08,0.061,0.099,0.116,0.065,0.084,0.058,0.098,0.075,0.059,0.08,0.047,0.09,0.175,0.067,0.07,0.065,0.128,0.068
