"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Los robos",0.499,0.477,0.52,0.488,0.56,0.415,0.486,0.504,0.498,0.493,0.483,0.51,0.456,0.501,0.514,0.513,0.42,0.605,0.534
"El narcotráfico",0.172,0.18,0.164,0.084,0.171,0.238,0.197,0.189,0.161,0.172,0.154,0.202,0.295,0.06,0.111,0.141,0.237,0.114,0
"La ausencia de patrulleros y personal policial",0.211,0.225,0.197,0.253,0.183,0.2,0.244,0.184,0.244,0.175,0.255,0.194,0.153,0.344,0.139,0.182,0.256,0.167,0.098
"Otro",0.09,0.08,0.101,0.156,0.067,0.096,0.047,0.096,0.068,0.135,0.072,0.084,0.029,0.067,0.185,0.142,0.057,0.096,0.287
"Ninguno",0.028,0.038,0.018,0.019,0.019,0.051,0.026,0.027,0.029,0.025,0.036,0.01,0.067,0.028,0.051,0.022,0.03,0.018,0.081
