"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.383,0.4,0.329,0.207,0.496
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.179,0.145,0.255,0.188,0.226
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.202,0.135,0.102,0.14,0.116
"P07","Al candidato de Milei en el municipio de Merlo",0.125,0.135,0.077,0.163,0
"P07","Al candidato de Espert en la boleta de Espert gobernador",0.02,0.009,0.042,0.124,0.034
"P07","A Cristian Franco por el Frente de Izquierda",0.031,0.049,0.063,0.036,0
"P07","No sabe",0.06,0.127,0.132,0.142,0.128
"P09","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.401,0.45,0.399,0.254,0.443
"P09","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.304,0.21,0.295,0.19,0.291
"P09","Al candidato de Javier Milei en el municipio de Merlo",0.184,0.125,0.11,0.239,0.113
"P09","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.019,0.021,0.03,0.069,0.002
"P09","A Cristian Franco por el Frente de Izquierda",0.035,0.035,0.051,0.098,0.058
"P09","No sabe",0.057,0.159,0.115,0.15,0.093
"P11","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.442,0.345,0.414,0.162,0.34
"P11","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.253,0.302,0.286,0.12,0.328
"P11","Al candidato de Javier Milei en el municipio de Merlo",0.201,0.148,0.107,0.286,0.179
"P11","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.009,0.017,0.007,0.087,0.002
"P11","A Cristian Franco por el Frente de Izquierda",0.037,0.029,0.07,0.152,0.058
"P11","No sabe",0.058,0.159,0.116,0.193,0.093
"P13","Muy buena",0.206,0.185,0.085,0.17,0.194
"P13","Buena",0.124,0.227,0.138,0.076,0.364
"P13","Ni buena ni mala",0.152,0.119,0.238,0.072,0.098
"P13","Mala",0.141,0.164,0.229,0.114,0
"P13","Muy mala",0.321,0.252,0.235,0.285,0.097
"P13","No sabe",0.056,0.053,0.075,0.283,0.247
"P14","Muy buena",0.142,0.182,0.075,0.095,0.051
"P14","Buena",0.12,0.072,0.105,0.102,0.211
"P14","Ni buena ni mala",0.289,0.269,0.374,0.239,0.174
"P14","Mala",0.131,0.175,0.07,0.11,0.049
"P14","Muy mala",0.162,0.116,0.11,0.166,0.036
"P14","No sabe",0.156,0.186,0.266,0.288,0.479
"P15","Muy buena",0.096,0.085,0.057,0.061,0
"P15","Buena",0.105,0.078,0.101,0.07,0.066
