"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.346,0.338,0.117,0.847,0.822
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.403,0.414,0.319,0.099,0
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.224,0.196,0.434,0.011,0.178
"P07","Al candidato de Milei en el municipio de Merlo",0,0.008,0.089,0,0
"P07","Al candidato de Espert en la boleta de Espert gobernador",0.013,0.021,0.007,0,0
"P07","A Cristian Franco por el Frente de Izquierda",0,0,0,0,0
"P07","No sabe",0.014,0.023,0.034,0.043,0
"P09","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.119,0.415,0.108,0.847,0.822
"P09","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.84,0.539,0.595,0.11,0
"P09","Al candidato de Javier Milei en el municipio de Merlo",0.029,0.024,0.283,0,0
"P09","Al candidato de José Luis Espert en la boleta de Espert gobernador",0,0.022,0.011,0.043,0
"P09","A Cristian Franco por el Frente de Izquierda",0,0,0,0,0
"P09","No sabe",0.012,0,0.003,0,0.178
"P11","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.201,0.435,0.097,0.917,0.822
"P11","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.765,0.523,0.56,0.028,0.178
"P11","Al candidato de Javier Milei en el municipio de Merlo",0.012,0.018,0.242,0.043,0
"P11","Al candidato de José Luis Espert en la boleta de Espert gobernador",0,0.015,0.012,0,0
"P11","A Cristian Franco por el Frente de Izquierda",0,0,0,0,0
"P11","No sabe",0.022,0.009,0.089,0.012,0
"P13","Muy buena",0.293,0.356,0.164,0.425,0.822
"P13","Buena",0.064,0.016,0.006,0.125,0
"P13","Ni buena ni mala",0.131,0.07,0.071,0.012,0.178
"P13","Mala",0.179,0.134,0.099,0.41,0
"P13","Muy mala",0.274,0.418,0.415,0.028,0
"P13","No sabe",0.059,0.006,0.245,0,0
"P14","Muy buena",0.421,0.65,0.128,0.012,0
"P14","Buena",0.333,0.082,0.165,0.082,0
"P14","Ni buena ni mala",0.158,0.105,0.219,0.496,0
"P14","Mala",0.014,0.05,0.014,0.41,0
"P14","Muy mala",0.052,0.095,0.196,0,0
"P14","No sabe",0.022,0.018,0.278,0,1
"P15","Muy buena",0.2,0.622,0.097,0,0
"P15","Buena",0.157,0.08,0.174,0.094,0
"P15","Ni buena ni mala",0.423,0.112,0.421,0.496,0.178
"P15","Mala",0.008,0.069,0.014,0.41,0.822
"P15","Muy mala",0.014,0.076,0.085,0,0
"P15","No sabe",0.198,0.041,0.209,0,0
"P16","Muy buena",0.187,0.296,0.138,0,0
"P16","Buena",0.086,0.051,0.053,0,0.178
"P16","Ni buena ni mala",0.244,0.135,0.231,0.436,0
"P16","Mala",0.221,0.095,0.264,0.464,0
