"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.399,0.405,0.394,0.375,0.376,0.453,0.427,0.454,0.375,0.349,0.329,0.43,0.396,0.432,0.326,0.426,0.617,0.138,0.083
"A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.166,0.168,0.164,0.201,0.15,0.137,0.196,0.148,0.195,0.128,0.206,0.179,0.1,0.136,0.173,0.143,0.086,0.313,0.308
"A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.149,0.125,0.172,0.104,0.173,0.153,0.158,0.113,0.179,0.147,0.21,0.098,0.216,0.172,0.184,0.111,0.067,0.333,0.163
"Al candidato de Milei en el municipio de Merlo",0.111,0.135,0.087,0.179,0.098,0.087,0.055,0.128,0.093,0.118,0.099,0.108,0.137,0.046,0.115,0.179,0.071,0.124,0.29
"Al candidato de Espert en la boleta de Espert gobernador",0.04,0.039,0.041,0.065,0.035,0.034,0.018,0.048,0.026,0.061,0.056,0.034,0.038,0.051,0.047,0.021,0.022,0.063,0.072
"A Cristian Franco por el Frente de Izquierda",0.023,0.023,0.023,0,0.031,0.026,0.036,0.012,0.019,0.057,0.031,0.02,0.058,0.008,0.009,0.018,0.028,0,0
"No sabe",0.112,0.105,0.119,0.076,0.137,0.11,0.11,0.097,0.113,0.14,0.069,0.131,0.055,0.155,0.146,0.102,0.109,0.029,0.084
