"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.071,0.067,0.075,0.049,0.085,0.072,0.064,0.106,0.048,0.07,0.102,0.076,0,0.133,0.015,0.052,0.07,0.101,0.009,6
"Buena",0.172,0.161,0.182,0.112,0.136,0.274,0.186,0.176,0.162,0.187,0.111,0.206,0.167,0.218,0.144,0.148,0.259,0.091,0.065,6
"Ni buena ni mala",0.304,0.309,0.3,0.236,0.287,0.325,0.419,0.272,0.321,0.317,0.27,0.337,0.367,0.238,0.376,0.225,0.322,0.279,0.411,6
"Mala",0.203,0.207,0.199,0.261,0.229,0.163,0.114,0.202,0.217,0.172,0.167,0.227,0.117,0.147,0.199,0.293,0.159,0.232,0.389,6
"Muy mala",0.175,0.177,0.173,0.26,0.197,0.114,0.09,0.161,0.164,0.224,0.253,0.115,0.217,0.22,0.18,0.165,0.129,0.211,0.126,6
"No sabe",0.075,0.079,0.071,0.082,0.066,0.052,0.127,0.083,0.088,0.03,0.097,0.039,0.132,0.044,0.086,0.117,0.061,0.086,0,6
"Positiva",0.243,0.228,0.257,0.161,0.221,0.346,0.25,0.282,0.21,0.257,0.213,0.282,0.167,0.351,0.159,0.2,0.329,0.192,0.074,4
"Neutra",0.304,0.309,0.3,0.236,0.287,0.325,0.419,0.272,0.321,0.317,0.27,0.337,0.367,0.238,0.376,0.225,0.322,0.279,0.411,4
"Negativa",0.378,0.384,0.372,0.521,0.426,0.277,0.204,0.363,0.381,0.396,0.42,0.342,0.334,0.367,0.379,0.458,0.288,0.443,0.515,4
"No sabe",0.075,0.079,0.071,0.082,0.066,0.052,0.127,0.083,0.088,0.03,0.097,0.039,0.132,0.044,0.086,0.117,0.061,0.086,0,4
