"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.406,0.39,0.421,0.358,0.387,0.46,0.46,0.457,0.382,0.357,0.365,0.415,0.446,0.424,0.371,0.415,0.602,0.178,0.099
"A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri",0.257,0.222,0.291,0.215,0.282,0.241,0.295,0.221,0.302,0.22,0.32,0.209,0.246,0.297,0.296,0.242,0.119,0.511,0.463
"Al candidato de Javier Milei en el municipio de Merlo",0.165,0.201,0.131,0.301,0.136,0.132,0.048,0.167,0.17,0.147,0.137,0.208,0.152,0.099,0.103,0.198,0.127,0.186,0.287
"Al candidato de José Luis Espert en la boleta de Espert gobernador",0.032,0.039,0.024,0.058,0.017,0.023,0.039,0.018,0.029,0.069,0.064,0.017,0.049,0.021,0.048,0.014,0.023,0.038,0.038
"A Cristian Franco por el Frente de Izquierda",0.034,0.038,0.031,0.012,0.048,0.031,0.042,0.033,0.021,0.072,0.021,0.028,0.051,0.052,0.074,0.023,0.036,0.019,0.068
"No sabe",0.106,0.11,0.102,0.056,0.13,0.113,0.116,0.104,0.096,0.135,0.093,0.123,0.056,0.107,0.108,0.108,0.093,0.068,0.045
