"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Patricia Bullrich","Positiva",0.403,0.391,0.416,0.338,0.357,0.457,0.514,0.359,0.398,0.457,0.417,0.383,0.322,0.413
"Patricia Bullrich","Neutra",0.15,0.157,0.142,0.154,0.179,0.123,0.112,0.191,0.145,0.113,0.152,0.217,0.145,0.119
"Patricia Bullrich","Negativa",0.4,0.418,0.382,0.406,0.423,0.394,0.349,0.384,0.405,0.41,0.404,0.296,0.462,0.432
"Patricia Bullrich","No sabe",0.047,0.034,0.06,0.102,0.041,0.026,0.025,0.066,0.052,0.02,0.027,0.104,0.071,0.036
"Maria Eugenia Vidal","Positiva",0.306,0.28,0.332,0.21,0.275,0.35,0.435,0.294,0.302,0.324,0.3,0.335,0.278,0.303
"Maria Eugenia Vidal","Neutra",0.194,0.201,0.188,0.189,0.206,0.19,0.179,0.223,0.181,0.184,0.226,0.214,0.171,0.164
"Maria Eugenia Vidal","Negativa",0.468,0.493,0.442,0.533,0.494,0.444,0.359,0.441,0.484,0.471,0.45,0.38,0.497,0.514
"Maria Eugenia Vidal","No sabe",0.032,0.026,0.038,0.068,0.025,0.016,0.027,0.042,0.033,0.021,0.024,0.071,0.054,0.019
"Horacio Rodriguez Larreta","Positiva",0.303,0.276,0.332,0.211,0.268,0.348,0.438,0.294,0.292,0.33,0.3,0.243,0.295,0.333
"Horacio Rodriguez Larreta","Neutra",0.249,0.263,0.235,0.24,0.275,0.235,0.216,0.28,0.251,0.213,0.254,0.327,0.195,0.219
"Horacio Rodriguez Larreta","Negativa",0.398,0.427,0.368,0.464,0.409,0.383,0.313,0.366,0.398,0.432,0.407,0.313,0.437,0.421
"Horacio Rodriguez Larreta","No sabe",0.05,0.034,0.065,0.085,0.048,0.034,0.033,0.06,0.059,0.025,0.039,0.117,0.073,0.027
"Javier Milei","Positiva",0.3,0.36,0.239,0.385,0.313,0.274,0.205,0.291,0.305,0.301,0.307,0.326,0.24,0.292
"Javier Milei","Neutra",0.237,0.204,0.271,0.175,0.219,0.272,0.306,0.251,0.238,0.222,0.23,0.268,0.246,0.229
"Javier Milei","Negativa",0.399,0.395,0.404,0.351,0.403,0.41,0.431,0.356,0.397,0.448,0.413,0.31,0.418,0.423
"Javier Milei","No sabe",0.064,0.041,0.086,0.089,0.065,0.044,0.058,0.102,0.06,0.029,0.05,0.096,0.096,0.056
"CFK","Positiva",0.298,0.274,0.322,0.27,0.324,0.293,0.277,0.335,0.282,0.281,0.284,0.269,0.313,0.319
"CFK","Neutra",0.093,0.087,0.098,0.12,0.099,0.073,0.073,0.112,0.101,0.061,0.092,0.118,0.094,0.083
"CFK","Negativa",0.6,0.631,0.57,0.595,0.57,0.627,0.64,0.545,0.608,0.648,0.616,0.602,0.568,0.591
"CFK","No sabe",0.009,0.008,0.01,0.015,0.007,0.007,0.01,0.008,0.009,0.01,0.008,0.011,0.025,0.007
"Axel Kicillof","Positiva",0.272,0.256,0.287,0.223,0.276,0.281,0.308,0.272,0.274,0.269,0.256,0.217,0.258,0.31
"Axel Kicillof","Neutra",0.126,0.122,0.13,0.14,0.152,0.1,0.083,0.155,0.134,0.084,0.13,0.155,0.169,0.104
"Axel Kicillof","Negativa",0.57,0.597,0.544,0.58,0.543,0.6,0.581,0.523,0.561,0.632,0.59,0.545,0.505,0.574
"Axel Kicillof","No sabe",0.032,0.025,0.039,0.057,0.029,0.019,0.028,0.05,0.031,0.015,0.024,0.083,0.068,0.012
"Mauricio Macri","Positiva",0.26,0.234,0.287,0.173,0.232,0.305,0.366,0.25,0.235,0.305,0.276,0.235,0.228,0.261
"Mauricio Macri","Neutra",0.187,0.183,0.19,0.221,0.168,0.174,0.209,0.177,0.21,0.164,0.183,0.226,0.151,0.179
"Mauricio Macri","Negativa",0.539,0.571,0.507,0.574,0.588,0.513,0.419,0.564,0.538,0.515,0.53,0.51,0.605,0.55
"Mauricio Macri","No sabe",0.014,0.012,0.016,0.032,0.012,0.008,0.006,0.009,0.017,0.016,0.011,0.029,0.016,0.01
"Alberto Fernandez","Positiva",0.23,0.197,0.262,0.219,0.241,0.225,0.223,0.272,0.222,0.196,0.232,0.199,0.21,0.244
"Alberto Fernandez","Neutra",0.161,0.148,0.174,0.174,0.18,0.137,0.135,0.159,0.172,0.148,0.151,0.19,0.193,0.152
"Alberto Fernandez","Negativa",0.6,0.646,0.555,0.594,0.571,0.632,0.632,0.558,0.6,0.645,0.609,0.598,0.581,0.597
"Alberto Fernandez","No sabe",0.009,0.009,0.009,0.013,0.008,0.006,0.01,0.011,0.006,0.011,0.008,0.013,0.016,0.007
"Sergio Massa","Positiva",0.157,0.159,0.154,0.13,0.145,0.169,0.199,0.181,0.14,0.154,0.149,0.138,0.126,0.174
"Sergio Massa","Neutra",0.216,0.198,0.234,0.219,0.239,0.192,0.193,0.237,0.232,0.171,0.208,0.231,0.252,0.211
"Sergio Massa","Negativa",0.586,0.613,0.559,0.584,0.571,0.612,0.586,0.52,0.589,0.652,0.61,0.555,0.552,0.585
"Sergio Massa","No sabe",0.041,0.03,0.053,0.067,0.045,0.027,0.022,0.062,0.039,0.023,0.033,0.076,0.07,0.03
