"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P04","Tengo trabajo estable",0.702,0.484,0.706,0.616,0.576,0.395,0.383,0.275,0.177
"P04","Realizo changas o trabajos de vez en cuando",0.12,0.15,0.085,0.105,0.123,0.214,0.223,0.292,0.244
"P04","No tengo trabajo",0.113,0.137,0.086,0.109,0.09,0.212,0.186,0.259,0.337
"P04","Soy jubilado o pensionado",0.065,0.229,0.123,0.17,0.211,0.179,0.208,0.174,0.242
"P05","Derecha",0.26,0.22,0.27,0.196,0.188,0.225,0.196,0.192,0.181
"P05","Centro derecha",0.224,0.116,0.176,0.198,0.201,0.154,0.181,0.144,0.313
"P05","Centro izquierda",0.26,0.124,0.314,0.282,0.264,0.13,0.139,0.112,0.094
"P05","Izquierda",0.036,0.029,0.098,0.114,0.117,0.06,0.117,0.091,0.098
"P05","No sabe",0.22,0.511,0.142,0.21,0.23,0.431,0.367,0.461,0.314
"P06","Muy importante",0.53,0.614,0.654,0.631,0.629,0.599,0.619,0.622,0.486
"P06","Algo importante",0.391,0.113,0.221,0.215,0.23,0.168,0.178,0.12,0.186
"P06","Nada importante",0.048,0.176,0.122,0.124,0.11,0.122,0.133,0.158,0.145
"P06","No sabe",0.031,0.097,0.003,0.03,0.031,0.111,0.07,0.1,0.183
"P07","Estoy de acuerdo",0.701,0.36,0.587,0.545,0.535,0.313,0.39,0.308,0.406
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.142,0.315,0.254,0.29,0.278,0.409,0.381,0.4,0.266
"P07","No estoy de acuerdo",0.055,0.204,0.104,0.125,0.14,0.216,0.175,0.226,0.195
"P07","No sabe",0.102,0.121,0.055,0.04,0.047,0.062,0.054,0.066,0.133
"P08","Frente de Todos y el peronismo",0.461,0.507,0.424,0.379,0.431,0.315,0.288,0.24,0.4
"P08","Cambiemos",0.198,0.152,0.255,0.29,0.287,0.277,0.3,0.309,0.196
