"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Muy importante",0.618,0.586,0.649,0.546,0.657,0.632,0.592,0.568,0.645,0.632,0.6,0.585,0.634,0.644
"Algo importante",0.176,0.196,0.157,0.182,0.156,0.184,0.206,0.134,0.173,0.224,0.2,0.157,0.16,0.167
"Nada importante",0.133,0.169,0.096,0.197,0.113,0.112,0.131,0.154,0.129,0.115,0.134,0.154,0.127,0.123
"No sabe",0.073,0.049,0.098,0.075,0.074,0.072,0.071,0.144,0.053,0.029,0.066,0.104,0.079,0.066
