"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Tengo trabajo estable",0.423,0.501,0.346,0.374,0.555,0.452,0.13,0.326,0.384,0.579,0.463,0.345,0.508,0.411
"Realizo changas o trabajos de vez en cuando",0.205,0.212,0.197,0.296,0.235,0.177,0.064,0.249,0.248,0.098,0.184,0.256,0.197,0.201
"No tengo trabajo",0.182,0.144,0.221,0.304,0.182,0.167,0.064,0.2,0.194,0.146,0.18,0.204,0.13,0.183
"Soy jubilado o pensionado",0.19,0.143,0.236,0.026,0.028,0.204,0.742,0.225,0.174,0.177,0.173,0.195,0.165,0.205
