"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Mauricio Macri presidente Javier Milei vice",0.372,0.377,0.367,0.426,0.345,0.374,0.373,0.328,0.387,0.396,0.386,0.375,0.325,0.367
"Sergio Massa presidente Gerardo Morales vice",0.155,0.158,0.151,0.142,0.172,0.153,0.13,0.172,0.144,0.151,0.142,0.167,0.145,0.161
"Nicolas del Caño presidente Myriam Bregman vice",0.068,0.074,0.063,0.084,0.076,0.049,0.059,0.062,0.066,0.077,0.076,0.056,0.063,0.068
"No sabe",0.405,0.391,0.419,0.348,0.407,0.424,0.438,0.438,0.403,0.376,0.396,0.402,0.467,0.404
