"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Mejor",0.117,0.122,0.113,0.116,0.115,0.116,0.128,0.134,0.104,0.119,0.132,0.111,0.12,0.108
"Igual",0.259,0.255,0.262,0.238,0.268,0.249,0.274,0.229,0.268,0.279,0.266,0.211,0.209,0.28
"Peor",0.582,0.58,0.585,0.571,0.583,0.603,0.565,0.589,0.583,0.573,0.563,0.619,0.639,0.574
"No sabe",0.042,0.043,0.04,0.075,0.034,0.032,0.033,0.048,0.045,0.029,0.039,0.059,0.032,0.038
