"var","categoria","Son lo mismo, ambos son de Massa","Son aliados en el Frente de Todos pero compiten","Son enemigos porque Zamora traicionó a Massa","No sabe"
"P07","Al candidato del Frente de Todos",0.26,0.472,0.257,0.406
"P07","Al candidato de Juntos por el Cambio",0.328,0.231,0.58,0.18
"P07","Al candidato de los liberales - libertarios",0.223,0.12,0.064,0.091
"P07","Al candidato de la Izquierda",0.113,0.04,0.004,0.028
"P07","A otro candidato",0.029,0.048,0.029,0.11
"P07","No sabe",0.047,0.089,0.066,0.185
"P08","A Julio Zamora por el Frente de Todos",0.259,0.407,0.107,0.473
"P08","A Malena Galmarini por el Frente de Todos",0.052,0.16,0.167,0.101
"P08","A Segundo Cernadas por Cambiemos",0.256,0.17,0.346,0.122
"P08","A Nicolás Massot por Cambiemos",0.067,0.072,0.21,0.017
"P08","Al candidato de los liberales libertarios",0.245,0.109,0.065,0.137
"P08","A Paula Akerfeld por el Frente de Izquierda",0.082,0.044,0.014,0.025
"P08","No sabe",0.039,0.038,0.091,0.125
"P10","A Julio Zamora por el Frente de Todos",0.239,0.47,0.21,0.466
"P10","A Segundo Cernadas por Cambiemos",0.316,0.214,0.377,0.122
"P10","Al candidato de los liberales libertarios",0.214,0.198,0.216,0.109
"P10","A Paula Akerfeld por el Frente de Izquierda",0.083,0.026,0.019,0.012
"P10","No sabe",0.148,0.092,0.178,0.291
"P12","A Malena Galmarini por el Frente de Todos",0.255,0.407,0.118,0.393
"P12","A Segundo Cernadas por Cambiemos",0.36,0.243,0.547,0.205
"P12","Al candidato de los liberales libertarios",0.243,0.122,0.146,0.084
"P12","A Paula Akerfeld por el Frente de Izquierda",0.032,0.044,0.032,0.092
"P12","No sabe",0.11,0.184,0.157,0.226
"P14","Muy buena",0.164,0.2,0.101,0.084
"P14","Buena",0.14,0.181,0.043,0.189
"P14","Ni buena ni mala",0.062,0.209,0.178,0.298
"P14","Mala",0.15,0.084,0.198,0.116
"P14","Muy mala",0.415,0.278,0.45,0.167
"P14","No sabe",0.069,0.048,0.03,0.146
"P15","Muy buena",0.164,0.245,0.177,0.294
"P15","Buena",0.198,0.326,0.098,0.173
"P15","Ni buena ni mala",0.208,0.197,0.255,0.294
