"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P07","Al candidato del Frente de Todos",0.733,0.503,0.124,0.477
"P07","Al candidato de Juntos por el Cambio",0.165,0.216,0.42,0.082
"P07","Al candidato de los liberales - libertarios",0.041,0.126,0.318,0.191
"P07","Al candidato de la Izquierda",0,0.015,0,0.204
"P07","A otro candidato",0.015,0.007,0.043,0.046
"P07","No sabe",0.046,0.133,0.095,0
"P08","A Julio Zamora por el Frente de Todos",0.521,0.302,0.075,0.458
"P08","A Malena Galmarini por el Frente de Todos",0.068,0.379,0.155,0.022
"P08","A Segundo Cernadas por Cambiemos",0.253,0.135,0.365,0.042
"P08","A Nicolás Massot por Cambiemos",0,0.023,0.067,0.036
"P08","Al candidato de los liberales libertarios",0.016,0.12,0.237,0.191
"P08","A Paula Akerfeld por el Frente de Izquierda",0.019,0.035,0.004,0.204
"P08","No sabe",0.123,0.006,0.097,0.047
"P10","A Julio Zamora por el Frente de Todos",0.739,0.411,0.192,0.354
"P10","A Segundo Cernadas por Cambiemos",0.128,0.136,0.384,0.185
"P10","Al candidato de los liberales libertarios",0.079,0.12,0.176,0.01
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.041,0.024,0.204
"P10","No sabe",0.054,0.292,0.224,0.247
"P12","A Malena Galmarini por el Frente de Todos",0.345,0.498,0.272,0.228
"P12","A Segundo Cernadas por Cambiemos",0.421,0.082,0.404,0.351
"P12","Al candidato de los liberales libertarios",0.042,0.12,0.307,0
"P12","A Paula Akerfeld por el Frente de Izquierda",0,0.027,0.004,0.284
"P12","No sabe",0.192,0.273,0.013,0.137
"P14","Muy buena",0.178,0.325,0.098,0.052
"P14","Buena",0.168,0.344,0.005,0.159
"P14","Ni buena ni mala",0.215,0.071,0.206,0.123
"P14","Mala",0.115,0,0.104,0.148
"P14","Muy mala",0.166,0.128,0.587,0.518
"P14","No sabe",0.158,0.132,0,0
"P15","Muy buena",0.147,0.247,0.082,0.216
"P15","Buena",0.581,0.202,0.119,0.062
"P15","Ni buena ni mala",0.183,0.194,0.38,0.297
"P15","Mala",0,0.009,0.156,0.179
"P15","Muy mala",0.089,0.328,0.263,0.236
"P15","No sabe",0,0.02,0,0.01
"P16","Muy buena",0.21,0.129,0.119,0.243
"P16","Buena",0.169,0.269,0.322,0
"P16","Ni buena ni mala",0.38,0.136,0.345,0.161
"P16","Mala",0.082,0.173,0.042,0.116
"P16","Muy mala",0.159,0.129,0.144,0.377
"P16","No sabe",0,0.164,0.028,0.103
"P17","Muy buena",0.091,0.019,0.009,0.191
"P17","Buena",0.083,0.26,0,0.01
"P17","Ni buena ni mala",0.412,0.273,0.311,0.12
"P17","Mala",0.02,0.094,0.173,0.236
"P17","Muy mala",0,0.135,0.117,0.042
"P17","No sabe",0.394,0.219,0.39,0.401
"P18","Muy buena",0.186,0.059,0.037,0.271
"P18","Buena",0.27,0.045,0.069,0.051
"P18","Ni buena ni mala",0.422,0.685,0.425,0.107
"P18","Mala",0,0.055,0.105,0.101
"P18","Muy mala",0.018,0.038,0.147,0.291
"P18","No sabe",0.104,0.118,0.217,0.179
"P19","Muy buena",0.335,0.241,0.123,0.203
"P19","Buena",0.273,0.263,0.128,0.282
"P19","Ni buena ni mala",0.305,0.168,0.248,0.103
"P19","Mala",0.019,0.019,0.162,0.235
"P19","Muy mala",0.031,0.309,0.25,0.177
"P19","No sabe",0.037,0,0.089,0
"P20","Que continúe el intendente Julio Zamora",0.198,0.317,0.019,0.268
"P20","Que continúe Julio Zamora pero con mejoras",0.401,0.261,0.196,0.41
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.216,0.1,0.18,0.123
"P20","Que cambie el intendente Julio Zamora",0.185,0.322,0.605,0.199
"P21","Es kirchnerista",0.291,0.228,0.204,0.221
"P21","Forma parte del Frente de Todos",0.225,0.226,0.161,0.279
"P21","Es un hombre de Massa",0.203,0.019,0.053,0.103
"P21","Es un peronista independiente de centro",0.039,0.071,0.174,0.017
"P21","Es un oportunista y está donde le conviene",0.093,0.302,0.162,0.315
"P21","No sabe",0.149,0.154,0.246,0.065
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.091,0.123,0.107,0.241
"P22","Son aliados tácticos pero lo ocultan",0.181,0.091,0.301,0.113
"P22","Son adversarios políticos",0.643,0.194,0.255,0.449
"P22","No sabe",0.085,0.592,0.337,0.197
"P23","Son lo mismo, ambos son de Massa",0.273,0.218,0.372,0.483
"P23","Son aliados en el Frente de Todos pero compiten",0.471,0.171,0.212,0.346
"P23","Son enemigos porque Zamora traicionó a Massa",0.208,0.236,0.167,0.029
"P23","No sabe",0.048,0.375,0.249,0.142
"P24","La seguridad",0.329,0.281,0.292,0.31
"P24","El tránsito",0.206,0.012,0.1,0.274
"P24","El arreglo de las calles",0.018,0.181,0.033,0.054
"P24","El estado de las escuelas y la educación",0.141,0.016,0,0.012
"P24","El sistema de salud",0.018,0.154,0.086,0.016
"P24","El deporte y la cultura",0,0.085,0.132,0.209
"P24","La obra pública",0,0.006,0.011,0.026
"P24","La luminaria",0.231,0.041,0.048,0.044
"P24","No sabe",0.057,0.224,0.298,0.055
"P25","La seguridad",0.535,0.624,0.537,0.531
"P25","El tránsito",0.001,0.07,0.089,0.108
"P25","El arreglo de las calles",0.133,0.191,0.032,0.011
"P25","El estado de las escuelas y la educación",0.141,0.019,0.091,0.208
"P25","El sistema de salud",0.067,0.02,0.123,0.126
"P25","El deporte y la cultura",0,0,0.041,0
"P25","La obra pública",0,0,0.044,0
"P25","La luminaria",0.123,0,0,0
"P25","No sabe",0,0.076,0.043,0.016
"P26","Agua corriente y cloacas",0.154,0.13,0.316,0.399
"P26","Energía eléctrica",0.573,0.4,0.476,0.469
"P26","Red de gas natural",0.186,0.102,0,0
