"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.387,0.284,0.309,0.285,0.416,0.541,0.252,0.428,0.44
"P07","Al candidato de Juntos por el Cambio",0.26,0.319,0.366,0.353,0.24,0.339,0.551,0.069,0.226
"P07","Al candidato de los liberales - libertarios",0.22,0.311,0.122,0.098,0.119,0,0.082,0.118,0.018
"P07","Al candidato de la Izquierda",0.013,0,0.095,0.07,0.036,0,0,0.385,0.03
"P07","A otro candidato",0.017,0.072,0.043,0.109,0.05,0.096,0.042,0,0.074
"P07","No sabe",0.103,0.014,0.065,0.085,0.139,0.024,0.073,0,0.212
"P08","A Julio Zamora por el Frente de Todos",0.244,0.18,0.282,0.369,0.402,0.546,0.121,0.103,0.559
"P08","A Malena Galmarini por el Frente de Todos",0.218,0.139,0.106,0.081,0.073,0.012,0.271,0.157,0.114
"P08","A Segundo Cernadas por Cambiemos",0.221,0.188,0.265,0.217,0.172,0.31,0.34,0.171,0.09
"P08","A Nicolás Massot por Cambiemos",0.023,0.092,0.151,0.076,0.04,0.113,0.02,0.016,0.059
"P08","Al candidato de los liberales libertarios",0.183,0.38,0.151,0.146,0.14,0,0.103,0,0.014
"P08","A Paula Akerfeld por el Frente de Izquierda",0.022,0.013,0.021,0.07,0.083,0,0.022,0.385,0.028
"P08","No sabe",0.089,0.008,0.024,0.041,0.09,0.019,0.123,0.168,0.136
"P10","A Julio Zamora por el Frente de Todos",0.339,0.294,0.234,0.406,0.442,0.63,0.421,0.396,0.504
"P10","A Segundo Cernadas por Cambiemos",0.212,0.202,0.331,0.287,0.184,0.069,0.473,0.069,0.197
"P10","Al candidato de los liberales libertarios",0.144,0.343,0.294,0.159,0.13,0.089,0.061,0.118,0.075
"P10","A Paula Akerfeld por el Frente de Izquierda",0.034,0.026,0.023,0.073,0.014,0,0,0.385,0.041
"P10","No sabe",0.271,0.135,0.118,0.075,0.23,0.212,0.045,0.032,0.183
"P12","A Malena Galmarini por el Frente de Todos",0.439,0.193,0.293,0.321,0.305,0.349,0.252,0.196,0.411
"P12","A Segundo Cernadas por Cambiemos",0.268,0.304,0.358,0.26,0.31,0.14,0.643,0.419,0.178
"P12","Al candidato de los liberales libertarios",0.137,0.295,0.2,0.141,0.143,0.089,0.06,0,0.055
"P12","A Paula Akerfeld por el Frente de Izquierda",0.044,0.037,0.046,0.054,0.057,0.203,0,0,0.04
"P12","No sabe",0.112,0.171,0.103,0.224,0.185,0.219,0.045,0.385,0.316
"P14","Muy buena",0.248,0.112,0.162,0.082,0.142,0.029,0.101,0.046,0.121
"P14","Buena",0.171,0.048,0.2,0.122,0.091,0.031,0.101,0.126,0.329
"P14","Ni buena ni mala",0.122,0.172,0.127,0.073,0.283,0.641,0.103,0.193,0.227
"P14","Mala",0.051,0.129,0.075,0.192,0.191,0.193,0.239,0.035,0.119
"P14","Muy mala",0.346,0.522,0.348,0.386,0.269,0.073,0.435,0.215,0.126
"P14","No sabe",0.062,0.017,0.088,0.145,0.024,0.033,0.021,0.385,0.078
"P15","Muy buena",0.169,0.232,0.247,0.187,0.216,0.275,0.059,0.1,0.302
"P15","Buena",0.222,0.144,0.297,0.262,0.22,0.031,0.206,0.114,0.187
"P15","Ni buena ni mala",0.282,0.149,0.163,0.289,0.225,0.343,0.34,0.232,0.307
"P15","Mala",0.074,0.077,0.116,0.141,0.242,0.318,0.163,0.436,0.13
"P15","Muy mala",0.249,0.371,0.141,0.104,0.085,0.033,0.15,0.118,0.059
"P15","No sabe",0.004,0.027,0.036,0.017,0.012,0,0.082,0,0.015
