"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Seguro lo votaria",0.246,0.396,0.104,0.208,0.243,0.306,0.23,0.368,0.209,0.171,0.227,0.368,0.221,0.192,0.354,0.147
"Quizás lo votaría",0.23,0.172,0.284,0.276,0.234,0.184,0.209,0.147,0.279,0.242,0.139,0.269,0.292,0.191,0.241,0.208
"Nunca lo votaría",0.524,0.432,0.612,0.516,0.523,0.51,0.561,0.485,0.512,0.587,0.634,0.363,0.487,0.617,0.405,0.645
