"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.191,0.151,0.236,0.134,0.211,0.19,0.233,0.213,0.279,0.028,0.322,0.058,0.123,0.268,0.179,0
"A Sergio Massa",0.268,0.238,0.3,0.295,0.211,0.296,0.341,0.246,0.37,0.144,0.165,0.244,0.379,0.331,0.196,0.357
"A algún candidato del peronismo",0.379,0.413,0.341,0.407,0.442,0.365,0.171,0.473,0.172,0.557,0.286,0.658,0.345,0.212,0.552,0.643
"A algún candidato del kirchnerismo",0.162,0.198,0.123,0.164,0.136,0.149,0.255,0.068,0.179,0.271,0.227,0.04,0.153,0.189,0.073,0
