"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.743,0.147,0.101,0.228,0.167
"P07","Al candidato de Juntos por el Cambio",0.118,0.727,0.215,0.033,0.24
"P07","Al candidato de los liberales - libertarios",0,0.041,0.547,0,0.136
"P07","Al candidato de la Izquierda",0.002,0,0.09,0.607,0.048
"P07","A otro candidato",0.038,0.03,0.025,0.005,0.153
"P07","No sabe",0.099,0.055,0.022,0.127,0.256
"P08","A Julio Zamora por el Frente de Todos",0.695,0.12,0.12,0.018,0.078
"P08","A Malena Galmarini por el Frente de Todos",0.161,0.095,0.037,0.343,0.167
"P08","A Segundo Cernadas por Cambiemos",0.081,0.549,0.214,0,0.113
"P08","A Nicolás Massot por Cambiemos",0.02,0.172,0.123,0.02,0.041
"P08","Al candidato de los liberales libertarios",0.009,0.017,0.501,0.024,0.195
"P08","A Paula Akerfeld por el Frente de Izquierda",0.003,0.001,0.005,0.595,0.063
"P08","No sabe",0.031,0.046,0,0,0.343
"P12","A Malena Galmarini por el Frente de Todos",0.579,0.165,0.147,0.08,0.181
"P12","A Segundo Cernadas por Cambiemos",0.157,0.761,0.142,0.016,0.137
"P12","Al candidato de los liberales libertarios",0.007,0.038,0.682,0.056,0.111
"P12","A Paula Akerfeld por el Frente de Izquierda",0.041,0.026,0,0.7,0.012
"P12","No sabe",0.216,0.01,0.029,0.148,0.559
"P14","Muy buena",0.209,0.125,0.041,0.093,0.101
"P14","Buena",0.251,0.071,0.081,0.132,0.106
"P14","Ni buena ni mala",0.286,0.104,0.126,0.283,0.264
"P14","Mala",0.08,0.187,0.112,0.069,0.127
"P14","Muy mala",0.089,0.482,0.51,0.279,0.296
"P14","No sabe",0.085,0.031,0.13,0.144,0.106
"P15","Muy buena",0.401,0.124,0.154,0.073,0.084
"P15","Buena",0.38,0.178,0.152,0,0.102
"P15","Ni buena ni mala",0.186,0.216,0.188,0.369,0.36
"P15","Mala",0.011,0.235,0.105,0.305,0.218
"P15","Muy mala",0.006,0.237,0.362,0.253,0.102
"P15","No sabe",0.016,0.01,0.039,0,0.134
"P16","Muy buena",0.057,0.386,0.157,0,0.09
"P16","Buena",0.082,0.294,0.18,0.008,0.131
"P16","Ni buena ni mala",0.386,0.161,0.315,0.233,0.386
"P16","Mala",0.139,0.043,0.147,0.162,0.062
"P16","Muy mala",0.16,0.082,0.127,0.313,0.084
"P16","No sabe",0.176,0.034,0.074,0.284,0.247
"P17","Muy buena",0.027,0.102,0.152,0,0.089
"P17","Buena",0.061,0.065,0.007,0,0.039
"P17","Ni buena ni mala",0.417,0.269,0.369,0.177,0.181
"P17","Mala",0.07,0.089,0.13,0.269,0.086
"P17","Muy mala",0.022,0.094,0.08,0.093,0.029
"P17","No sabe",0.403,0.381,0.262,0.461,0.576
"P18","Muy buena",0.056,0.205,0.186,0.006,0.054
"P18","Buena",0.096,0.127,0.075,0.113,0.048
"P18","Ni buena ni mala",0.423,0.326,0.381,0.343,0.381
"P18","Mala",0.105,0.087,0.082,0.025,0.071
"P18","Muy mala",0.109,0.093,0.123,0.246,0.123
"P18","No sabe",0.211,0.162,0.153,0.267,0.323
"P19","Muy buena",0.408,0.159,0.093,0.006,0.078
"P19","Buena",0.35,0.158,0.069,0.197,0.183
"P19","Ni buena ni mala",0.21,0.226,0.22,0.323,0.224
"P19","Mala",0.022,0.267,0.291,0.255,0.168
"P19","Muy mala",0.007,0.163,0.295,0.219,0.139
"P19","No sabe",0.003,0.027,0.032,0,0.208
"P20","Que continúe el intendente Julio Zamora",0.392,0.114,0.102,0.016,0.045
"P20","Que continúe Julio Zamora pero con mejoras",0.414,0.144,0.107,0.139,0.425
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.127,0.157,0.134,0.255,0.206
"P20","Que cambie el intendente Julio Zamora",0.067,0.585,0.657,0.59,0.324
"P21","Es kirchnerista",0.174,0.189,0.147,0.084,0.034
"P21","Forma parte del Frente de Todos",0.383,0.168,0.156,0.281,0.153
"P21","Es un hombre de Massa",0.21,0.169,0.136,0.312,0.14
"P21","Es un peronista independiente de centro",0.103,0.106,0.232,0.034,0.168
"P21","Es un oportunista y está donde le conviene",0.021,0.245,0.275,0.273,0.278
"P21","No sabe",0.109,0.123,0.054,0.016,0.227
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.115,0.18,0.261,0.214,0.232
"P22","Son aliados tácticos pero lo ocultan",0.064,0.112,0.237,0.169,0.156
"P22","Son adversarios políticos",0.475,0.497,0.322,0.413,0.194
"P22","No sabe",0.346,0.211,0.18,0.204,0.418
"P23","Son lo mismo, ambos son de Massa",0.164,0.326,0.293,0.582,0.227
"P23","Son aliados en el Frente de Todos pero compiten",0.457,0.312,0.383,0.258,0.199
"P23","Son enemigos porque Zamora traicionó a Massa",0.094,0.251,0.191,0.084,0.176
"P23","No sabe",0.285,0.111,0.133,0.076,0.398
"P24","La seguridad",0.285,0.261,0.293,0.394,0.31
"P24","El tránsito",0.135,0.094,0.06,0.086,0.05
"P24","El arreglo de las calles",0.143,0.05,0.063,0.078,0.085
"P24","El estado de las escuelas y la educación",0.057,0.05,0.003,0,0.01
"P24","El sistema de salud",0.051,0.059,0.087,0.007,0.039
"P24","El deporte y la cultura",0.156,0.08,0.164,0.131,0.094
"P24","La obra pública",0.043,0.007,0.016,0.05,0.013
"P24","La luminaria",0.057,0.105,0.113,0.008,0.129
"P24","No sabe",0.073,0.294,0.201,0.246,0.27
"P25","La seguridad",0.151,0.148,0.129,0.148,0.267
"P25","El tránsito",0.082,0.089,0.193,0.072,0.084
"P25","El arreglo de las calles",0.145,0.32,0.366,0.14,0.162
"P25","El estado de las escuelas y la educación",0.115,0.128,0.091,0.205,0.047
"P25","El sistema de salud",0.215,0.14,0.128,0.066,0.249
"P25","El deporte y la cultura",0.086,0.015,0.024,0,0.064
"P25","La obra pública",0.039,0.068,0.011,0,0.009
"P25","La luminaria",0.027,0.007,0.016,0.258,0.005
"P25","No sabe",0.14,0.085,0.042,0.111,0.113
"P26","Agua corriente y cloacas",0.403,0.434,0.391,0.463,0.457
"P26","Energía eléctrica",0.123,0.17,0.129,0.139,0.127
"P26","Red de gas natural",0.113,0.08,0.086,0.077,0.024
"P26","Recolección de residuos",0.086,0.167,0.142,0.073,0.167
"P26","Ninguno",0.275,0.149,0.252,0.248,0.225
"P27","Los robos",0.234,0.273,0.245,0.478,0.292
"P27","El narcotráfico",0.261,0.396,0.222,0.129,0.215
"P27","La ausencia de patrulleros y personal policial",0.153,0.116,0.193,0.122,0.209
"P27","Otro",0.151,0.132,0.105,0.078,0.234
"P27","Ninguno",0.201,0.083,0.235,0.193,0.05
"P28","Frente de Todos y el peronismo",0.684,0.097,0.144,0.292,0.128
"P28","Cambiemos",0.14,0.629,0.156,0.028,0.133
"P28","Liberales Libertarios",0.037,0.216,0.667,0.049,0.223
"P28","Izquierda",0.045,0.023,0.015,0.575,0.024
"P28","No sabe",0.094,0.035,0.018,0.056,0.492
"P30","A Alberto Fernández",0.371,0.104,0.131,0,0.048
"P30","A Sergio Massa",0.288,0.153,0.278,0.207,0.366
"P30","A algún candidato del peronismo",0.191,0.616,0.577,0.173,0.398
"P30","A algún candidato del kirchnerismo",0.15,0.127,0.014,0.62,0.188
"P31","A Alberto Fernández",0.315,0.139,0.058,0,0.49
"P31","A Sergio Massa",0.279,0.166,0.318,0.195,0.228
"P31","A algún candidato del peronismo",0.084,0.541,0.612,0.191,0.248
"P31","A Cristina Fernández de Kirchner",0.322,0.154,0.012,0.614,0.034
"P32","A Horacio Rodriguez Larreta",0.288,0.302,0.097,0.107,0.319
"P32","A Mauricio Macri",0.096,0.426,0.167,0,0.179
"P32","A Patricia Bullrich",0.117,0.243,0.632,0.315,0.194
"P32","A Facundo Manes",0.281,0.016,0.104,0.44,0.231
"P32","A Gerardo Morales",0.218,0.013,0,0.138,0.077
"P33","Seguro lo votaria",0.077,0.329,0.543,0.316,0.11
"P33","Quizás lo votaría",0.227,0.293,0.251,0.035,0.154
"P33","Nunca lo votaría",0.696,0.378,0.206,0.649,0.736
"P34","Muy buena",0.16,0.088,0.125,0.23,0.032
"P34","Buena",0.263,0.05,0.078,0.119,0.111
"P34","Ni buena ni mala",0.296,0.043,0.097,0.274,0.366
"P34","Mala",0.123,0.132,0.049,0.145,0.172
"P34","Muy mala",0.158,0.674,0.651,0.232,0.284
"P34","No sabe",0,0.013,0,0,0.035
"P35","Muy buena",0.049,0.353,0.265,0.013,0.105
"P35","Buena",0.088,0.254,0.193,0.123,0.184
"P35","Ni buena ni mala",0.123,0.163,0.162,0.07,0.301
"P35","Mala",0.192,0.084,0.193,0.177,0.165
"P35","Muy mala",0.525,0.142,0.187,0.617,0.219
"P35","No sabe",0.023,0.004,0,0,0.026
"P36","Muy buena",0.442,0.131,0.136,0.465,0.155
"P36","Buena",0.127,0.063,0.076,0.012,0.142
"P36","Ni buena ni mala",0.188,0.012,0.011,0.151,0.183
"P36","Mala",0.049,0.06,0.024,0.095,0.015
"P36","Muy mala",0.183,0.734,0.746,0.277,0.465
"P36","No sabe",0.011,0,0.007,0,0.04
"P37","Muy buena",0.099,0.203,0.032,0.205,0.073
"P37","Buena",0.091,0.352,0.168,0.015,0.233
"P37","Ni buena ni mala",0.291,0.229,0.143,0.099,0.325
"P37","Mala",0.164,0.029,0.22,0.12,0.064
"P37","Muy mala",0.271,0.179,0.434,0.532,0.257
"P37","No sabe",0.084,0.008,0.003,0.029,0.048
