"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Muy positivo",0.274,0.229,0.312,0.319,0.287,0.278,0.222,0.25,0.322,0.249,0.454,0.163,0.14,0.461,0.419,0.113,0.172,0.14
"Positivo",0.228,0.216,0.238,0.38,0.186,0.197,0.242,0.245,0.244,0.212,0.298,0.193,0.232,0.183,0.312,0.185,0.196,0.247
"Neutral",0.294,0.308,0.283,0.181,0.309,0.344,0.283,0.262,0.252,0.333,0.182,0.355,0.432,0.216,0.198,0.423,0.358,0.292
"Algo negativo",0.063,0.073,0.054,0.06,0.055,0.053,0.088,0.079,0.07,0.053,0.016,0.097,0,0.032,0.024,0.097,0.053,0.118
"Negativo",0.115,0.144,0.09,0.06,0.139,0.097,0.125,0.125,0.093,0.126,0.044,0.16,0.142,0.09,0.038,0.161,0.153,0.197
"No sabe",0.026,0.03,0.023,0,0.024,0.031,0.04,0.039,0.019,0.027,0.006,0.032,0.054,0.018,0.009,0.021,0.068,0.006
