"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Muy positivo",0.322,0.286,0.352,0.368,0.341,0.316,0.271,0.321,0.369,0.29,0.59,0.188,0.16,0.519,0.554,0.122,0.147,0.2
"Positivo",0.199,0.198,0.2,0.281,0.18,0.195,0.186,0.199,0.201,0.198,0.226,0.165,0.261,0.179,0.216,0.171,0.189,0.198
"Neutral",0.214,0.208,0.219,0.117,0.234,0.24,0.211,0.211,0.216,0.213,0.087,0.289,0.216,0.137,0.139,0.3,0.294,0.261
"Algo negativo",0.103,0.122,0.087,0.117,0.07,0.125,0.124,0.07,0.075,0.133,0.032,0.14,0.188,0.029,0.046,0.198,0.129,0.125
"Negativo",0.137,0.157,0.12,0.117,0.147,0.105,0.167,0.163,0.116,0.143,0.059,0.193,0.109,0.119,0.045,0.182,0.205,0.207
"No sabe",0.025,0.029,0.022,0,0.028,0.019,0.041,0.036,0.023,0.023,0.006,0.025,0.066,0.017,0,0.027,0.036,0.009
